"","Statistic","Domestic.or.Import.Source","Month","value"
"1121","Fat Content (%)","Import","1990M07",NA
"1122","Protein Content (%)","Import","1990M07",NA
"1123","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M08",573.6
"1124","Fat Content (%)","Domestic","1990M08",3.56
"1125","Protein Content (%)","Domestic","1990M08",3.19
"1126","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M08",NA
"1127","Fat Content (%)","Import","1990M08",NA
"1128","Protein Content (%)","Import","1990M08",NA
"1129","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M09",465.1
"1130","Fat Content (%)","Domestic","1990M09",3.73
"1131","Protein Content (%)","Domestic","1990M09",3.46
"1132","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M09",NA
"1133","Fat Content (%)","Import","1990M09",NA
"1134","Protein Content (%)","Import","1990M09",NA
"1135","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M10",322.6
"1136","Fat Content (%)","Domestic","1990M10",4.02
"1137","Protein Content (%)","Domestic","1990M10",3.64
"1138","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M10",NA
"1139","Fat Content (%)","Import","1990M10",NA
"1140","Protein Content (%)","Import","1990M10",NA
"1141","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M11",178.7
"1142","Fat Content (%)","Domestic","1990M11",4.02
"1143","Protein Content (%)","Domestic","1990M11",3.55
"1144","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M11",NA
"1145","Fat Content (%)","Import","1990M11",NA
"1146","Protein Content (%)","Import","1990M11",NA
"1147","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M12",129.8
"1148","Fat Content (%)","Domestic","1990M12",3.77
"1149","Protein Content (%)","Domestic","1990M12",3.29
"1150","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M12",NA
"1151","Fat Content (%)","Import","1990M12",NA
"1152","Protein Content (%)","Import","1990M12",NA
"1153","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M01",144.3
"1154","Fat Content (%)","Domestic","1991M01",3.64
"1155","Protein Content (%)","Domestic","1991M01",3.12
"1156","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M01",NA
"1157","Fat Content (%)","Import","1991M01",NA
"1158","Protein Content (%)","Import","1991M01",NA
"1159","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M02",227.5
"1160","Fat Content (%)","Domestic","1991M02",3.55
"1161","Protein Content (%)","Domestic","1991M02",3.01
"1162","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M02",NA
"1163","Fat Content (%)","Import","1991M02",NA
"1164","Protein Content (%)","Import","1991M02",NA
"1165","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M03",407.5
"1166","Fat Content (%)","Domestic","1991M03",3.45
"1167","Protein Content (%)","Domestic","1991M03",2.91
"1168","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M03",NA
"1169","Fat Content (%)","Import","1991M03",NA
"1170","Protein Content (%)","Import","1991M03",NA
"1171","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M04",564.1
"1172","Fat Content (%)","Domestic","1991M04",3.43
"1173","Protein Content (%)","Domestic","1991M04",3.02
"1174","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M04",NA
"1175","Fat Content (%)","Import","1991M04",NA
"1176","Protein Content (%)","Import","1991M04",NA
"1177","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M05",718.4
"1178","Fat Content (%)","Domestic","1991M05",3.39
"1179","Protein Content (%)","Domestic","1991M05",3.17
"1180","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M05",NA
"1181","Fat Content (%)","Import","1991M05",NA
"1182","Protein Content (%)","Import","1991M05",NA
"1183","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M06",705.6
"1184","Fat Content (%)","Domestic","1991M06",3.42
"1185","Protein Content (%)","Domestic","1991M06",3.17
"1186","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M06",NA
"1187","Fat Content (%)","Import","1991M06",NA
"1188","Protein Content (%)","Import","1991M06",NA
"1189","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M07",652
"1190","Fat Content (%)","Domestic","1991M07",3.5
"1191","Protein Content (%)","Domestic","1991M07",3.18
"1192","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M07",NA
"1193","Fat Content (%)","Import","1991M07",NA
"1194","Protein Content (%)","Import","1991M07",NA
"1195","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M08",567.8
"1196","Fat Content (%)","Domestic","1991M08",3.56
"1197","Protein Content (%)","Domestic","1991M08",3.2
"1198","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M08",NA
"1199","Fat Content (%)","Import","1991M08",NA
"1200","Protein Content (%)","Import","1991M08",NA
"1201","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M09",456.1
"1202","Fat Content (%)","Domestic","1991M09",3.72
"1203","Protein Content (%)","Domestic","1991M09",3.34
"1204","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M09",NA
"1205","Fat Content (%)","Import","1991M09",NA
"1206","Protein Content (%)","Import","1991M09",NA
"1207","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M10",312.1
"1208","Fat Content (%)","Domestic","1991M10",3.97
"1209","Protein Content (%)","Domestic","1991M10",3.56
"1210","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M10",NA
"1211","Fat Content (%)","Import","1991M10",NA
"1212","Protein Content (%)","Import","1991M10",NA
"1213","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M11",173.2
"1214","Fat Content (%)","Domestic","1991M11",4.03
"1215","Protein Content (%)","Domestic","1991M11",3.51
"1216","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M11",NA
"1217","Fat Content (%)","Import","1991M11",NA
"1218","Protein Content (%)","Import","1991M11",NA
"1219","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1991M12",132.8
"1220","Fat Content (%)","Domestic","1991M12",3.78
"1221","Protein Content (%)","Domestic","1991M12",3.27
"1222","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1991M12",NA
"1223","Fat Content (%)","Import","1991M12",NA
"1224","Protein Content (%)","Import","1991M12",NA
"1225","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M01",149.4
"1226","Fat Content (%)","Domestic","1992M01",3.62
"1227","Protein Content (%)","Domestic","1992M01",3.11
"1228","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M01",NA
"1229","Fat Content (%)","Import","1992M01",NA
"1230","Protein Content (%)","Import","1992M01",NA
"1231","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M02",233.6
"1232","Fat Content (%)","Domestic","1992M02",3.55
"1233","Protein Content (%)","Domestic","1992M02",3.02
"1234","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M02",NA
"1235","Fat Content (%)","Import","1992M02",NA
"1236","Protein Content (%)","Import","1992M02",NA
"1237","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M03",399.2
"1238","Fat Content (%)","Domestic","1992M03",3.5
"1239","Protein Content (%)","Domestic","1992M03",2.94
"1240","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M03",NA
"1241","Fat Content (%)","Import","1992M03",NA
"1242","Protein Content (%)","Import","1992M03",NA
"1243","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M04",573.3
"1244","Fat Content (%)","Domestic","1992M04",3.44
"1245","Protein Content (%)","Domestic","1992M04",3.09
"1246","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M04",NA
"1247","Fat Content (%)","Import","1992M04",NA
"1248","Protein Content (%)","Import","1992M04",NA
"1249","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M05",697.4
"1250","Fat Content (%)","Domestic","1992M05",3.39
"1251","Protein Content (%)","Domestic","1992M05",3.16
"1252","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M05",NA
"1253","Fat Content (%)","Import","1992M05",NA
"1254","Protein Content (%)","Import","1992M05",NA
"1255","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M06",674.9
"1256","Fat Content (%)","Domestic","1992M06",3.4
"1257","Protein Content (%)","Domestic","1992M06",3.16
"1258","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M06",NA
"1259","Fat Content (%)","Import","1992M06",NA
"1260","Protein Content (%)","Import","1992M06",NA
"1261","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M07",615.6
"1262","Fat Content (%)","Domestic","1992M07",3.48
"1263","Protein Content (%)","Domestic","1992M07",3.16
"1264","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M07",NA
"1265","Fat Content (%)","Import","1992M07",NA
"1266","Protein Content (%)","Import","1992M07",NA
"1267","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M08",570.5
"1268","Fat Content (%)","Domestic","1992M08",3.56
"1269","Protein Content (%)","Domestic","1992M08",3.25
"1270","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M08",NA
"1271","Fat Content (%)","Import","1992M08",NA
"1272","Protein Content (%)","Import","1992M08",NA
"1273","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M09",469.4
"1274","Fat Content (%)","Domestic","1992M09",3.75
"1275","Protein Content (%)","Domestic","1992M09",3.41
"1276","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M09",NA
"1277","Fat Content (%)","Import","1992M09",NA
"1278","Protein Content (%)","Import","1992M09",NA
"1279","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M10",363.7
"1280","Fat Content (%)","Domestic","1992M10",3.94
"1281","Protein Content (%)","Domestic","1992M10",3.57
"1282","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M10",NA
"1283","Fat Content (%)","Import","1992M10",NA
"1284","Protein Content (%)","Import","1992M10",NA
"1285","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M11",210
"1286","Fat Content (%)","Domestic","1992M11",4.02
"1287","Protein Content (%)","Domestic","1992M11",3.5
"1288","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M11",NA
"1289","Fat Content (%)","Import","1992M11",NA
"1290","Protein Content (%)","Import","1992M11",NA
"1291","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992M12",148
"1292","Fat Content (%)","Domestic","1992M12",3.8
"1293","Protein Content (%)","Domestic","1992M12",3.25
"1294","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992M12",NA
"1295","Fat Content (%)","Import","1992M12",NA
"1296","Protein Content (%)","Import","1992M12",NA
"1297","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M01",146.1
"1298","Fat Content (%)","Domestic","1993M01",3.68
"1299","Protein Content (%)","Domestic","1993M01",3.04
"1300","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M01",NA
"1301","Fat Content (%)","Import","1993M01",NA
"1302","Protein Content (%)","Import","1993M01",NA
"1303","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M02",218
"1304","Fat Content (%)","Domestic","1993M02",3.51
"1305","Protein Content (%)","Domestic","1993M02",3.01
"1306","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M02",NA
"1307","Fat Content (%)","Import","1993M02",NA
"1308","Protein Content (%)","Import","1993M02",NA
"1309","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M03",400.2
"1310","Fat Content (%)","Domestic","1993M03",3.45
"1311","Protein Content (%)","Domestic","1993M03",2.99
"1312","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M03",NA
"1313","Fat Content (%)","Import","1993M03",NA
"1314","Protein Content (%)","Import","1993M03",NA
"1315","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M04",560.3
"1316","Fat Content (%)","Domestic","1993M04",3.4
"1317","Protein Content (%)","Domestic","1993M04",3.06
"1318","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M04",NA
"1319","Fat Content (%)","Import","1993M04",NA
"1320","Protein Content (%)","Import","1993M04",NA
"1321","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M05",687
"1322","Fat Content (%)","Domestic","1993M05",3.4
"1323","Protein Content (%)","Domestic","1993M05",3.16
"1324","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M05",NA
"1325","Fat Content (%)","Import","1993M05",NA
"1326","Protein Content (%)","Import","1993M05",NA
"1327","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M06",656.2
"1328","Fat Content (%)","Domestic","1993M06",3.43
"1329","Protein Content (%)","Domestic","1993M06",3.15
"1330","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M06",NA
"1331","Fat Content (%)","Import","1993M06",NA
"1332","Protein Content (%)","Import","1993M06",NA
"1333","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M07",624.3
"1334","Fat Content (%)","Domestic","1993M07",3.45
"1335","Protein Content (%)","Domestic","1993M07",3.17
"1336","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M07",NA
"1337","Fat Content (%)","Import","1993M07",NA
"1338","Protein Content (%)","Import","1993M07",NA
"1339","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M08",570.6
"1340","Fat Content (%)","Domestic","1993M08",3.54
"1341","Protein Content (%)","Domestic","1993M08",3.23
"1342","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M08",NA
"1343","Fat Content (%)","Import","1993M08",NA
"1344","Protein Content (%)","Import","1993M08",NA
"1345","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M09",474.4
"1346","Fat Content (%)","Domestic","1993M09",3.75
"1347","Protein Content (%)","Domestic","1993M09",3.41
"1348","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M09",NA
"1349","Fat Content (%)","Import","1993M09",NA
"1350","Protein Content (%)","Import","1993M09",NA
"1351","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993M10",350.4
"1352","Fat Content (%)","Domestic","1993M10",3.98
"1353","Protein Content (%)","Domestic","1993M10",3.58
"1354","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993M10",NA
