"","Region","Year","Type.of.Land.Use","value"
"3651","North West","1988","Crops and pasture",NA
"3652","West","1988","Crops and pasture",NA
"3653","South-East (IRL)","1988","Crops and pasture",NA
"3654","South-West (IRL)","1988","Crops and pasture",NA
"3655","State","1989","Crops and pasture",NA
"3656","Midlands and East","1989","Crops and pasture",NA
"3657","North West","1989","Crops and pasture",NA
"3658","West","1989","Crops and pasture",NA
"3659","South-East (IRL)","1989","Crops and pasture",NA
"3660","South-West (IRL)","1989","Crops and pasture",NA
"3661","State","1990","Crops and pasture",NA
"3662","Midlands and East","1990","Crops and pasture",NA
"3663","North West","1990","Crops and pasture",NA
"3664","West","1990","Crops and pasture",NA
"3665","South-East (IRL)","1990","Crops and pasture",NA
"3666","South-West (IRL)","1990","Crops and pasture",NA
"3667","State","1991","Crops and pasture",3799.8
"3668","Midlands and East","1991","Crops and pasture",749.7
"3669","North West","1991","Crops and pasture",536.7
"3670","West","1991","Crops and pasture",748.8
"3671","South-East (IRL)","1991","Crops and pasture",920.7
"3672","South-West (IRL)","1991","Crops and pasture",843.9
"3673","State","1992","Crops and pasture",3817.3
"3674","Midlands and East","1992","Crops and pasture",748.8
"3675","North West","1992","Crops and pasture",536.4
"3676","West","1992","Crops and pasture",757.1
"3677","South-East (IRL)","1992","Crops and pasture",916.7
"3678","South-West (IRL)","1992","Crops and pasture",858.3
"3679","State","1993","Crops and pasture",3904.7
"3680","Midlands and East","1993","Crops and pasture",752.6
"3681","North West","1993","Crops and pasture",562.8
"3682","West","1993","Crops and pasture",791.6
"3683","South-East (IRL)","1993","Crops and pasture",930.1
"3684","South-West (IRL)","1993","Crops and pasture",867.4
"3685","State","1994","Crops and pasture",3929.1
"3686","Midlands and East","1994","Crops and pasture",753.4
"3687","North West","1994","Crops and pasture",578.5
"3688","West","1994","Crops and pasture",788.1
"3689","South-East (IRL)","1994","Crops and pasture",928.6
"3690","South-West (IRL)","1994","Crops and pasture",880.3
"3691","State","1995","Crops and pasture",3929
"3692","Midlands and East","1995","Crops and pasture",760.2
"3693","North West","1995","Crops and pasture",570.3
"3694","West","1995","Crops and pasture",792.7
"3695","South-East (IRL)","1995","Crops and pasture",930.3
"3696","South-West (IRL)","1995","Crops and pasture",875.5
"3697","State","1996","Crops and pasture",3912.4
"3698","Midlands and East","1996","Crops and pasture",755.1
"3699","North West","1996","Crops and pasture",565.3
"3700","West","1996","Crops and pasture",784.1
"3701","South-East (IRL)","1996","Crops and pasture",930.7
"3702","South-West (IRL)","1996","Crops and pasture",877.1
"3703","State","1997","Crops and pasture",3957.6
"3704","Midlands and East","1997","Crops and pasture",762.7
"3705","North West","1997","Crops and pasture",577.6
"3706","West","1997","Crops and pasture",806.7
"3707","South-East (IRL)","1997","Crops and pasture",935.1
"3708","South-West (IRL)","1997","Crops and pasture",875.5
"3709","State","1998","Crops and pasture",3968.4
"3710","Midlands and East","1998","Crops and pasture",761.6
"3711","North West","1998","Crops and pasture",582.7
"3712","West","1998","Crops and pasture",807
"3713","South-East (IRL)","1998","Crops and pasture",933
"3714","South-West (IRL)","1998","Crops and pasture",884.2
"3715","State","1999","Crops and pasture",3953.9
"3716","Midlands and East","1999","Crops and pasture",761.6
"3717","North West","1999","Crops and pasture",580.8
"3718","West","1999","Crops and pasture",801.2
"3719","South-East (IRL)","1999","Crops and pasture",932.6
"3720","South-West (IRL)","1999","Crops and pasture",877.7
"3721","State","1980","Rough grazing in use",1008.7
"3722","Midlands and East","1980","Rough grazing in use",39.3
"3723","North West","1980","Rough grazing in use",206
"3724","West","1980","Rough grazing in use",352.9
"3725","South-East (IRL)","1980","Rough grazing in use",126
"3726","South-West (IRL)","1980","Rough grazing in use",284.6
"3727","State","1981","Rough grazing in use",NA
"3728","Midlands and East","1981","Rough grazing in use",NA
"3729","North West","1981","Rough grazing in use",NA
"3730","West","1981","Rough grazing in use",NA
"3731","South-East (IRL)","1981","Rough grazing in use",NA
"3732","South-West (IRL)","1981","Rough grazing in use",NA
"3733","State","1982","Rough grazing in use",NA
"3734","Midlands and East","1982","Rough grazing in use",NA
"3735","North West","1982","Rough grazing in use",NA
"3736","West","1982","Rough grazing in use",NA
"3737","South-East (IRL)","1982","Rough grazing in use",NA
"3738","South-West (IRL)","1982","Rough grazing in use",NA
"3739","State","1983","Rough grazing in use",NA
"3740","Midlands and East","1983","Rough grazing in use",NA
"3741","North West","1983","Rough grazing in use",NA
"3742","West","1983","Rough grazing in use",NA
"3743","South-East (IRL)","1983","Rough grazing in use",NA
"3744","South-West (IRL)","1983","Rough grazing in use",NA
"3745","State","1984","Rough grazing in use",NA
"3746","Midlands and East","1984","Rough grazing in use",NA
"3747","North West","1984","Rough grazing in use",NA
"3748","West","1984","Rough grazing in use",NA
"3749","South-East (IRL)","1984","Rough grazing in use",NA
"3750","South-West (IRL)","1984","Rough grazing in use",NA
"3751","State","1985","Rough grazing in use",NA
"3752","Midlands and East","1985","Rough grazing in use",NA
"3753","North West","1985","Rough grazing in use",NA
"3754","West","1985","Rough grazing in use",NA
"3755","South-East (IRL)","1985","Rough grazing in use",NA
"3756","South-West (IRL)","1985","Rough grazing in use",NA
"3757","State","1986","Rough grazing in use",1005.9
"3758","Midlands and East","1986","Rough grazing in use",40.3
"3759","North West","1986","Rough grazing in use",208
"3760","West","1986","Rough grazing in use",351.3
"3761","South-East (IRL)","1986","Rough grazing in use",124.1
"3762","South-West (IRL)","1986","Rough grazing in use",282.2
"3763","State","1987","Rough grazing in use",NA
"3764","Midlands and East","1987","Rough grazing in use",NA
"3765","North West","1987","Rough grazing in use",NA
"3766","West","1987","Rough grazing in use",NA
"3767","South-East (IRL)","1987","Rough grazing in use",NA
"3768","South-West (IRL)","1987","Rough grazing in use",NA
"3769","State","1988","Rough grazing in use",NA
"3770","Midlands and East","1988","Rough grazing in use",NA
"3771","North West","1988","Rough grazing in use",NA
"3772","West","1988","Rough grazing in use",NA
"3773","South-East (IRL)","1988","Rough grazing in use",NA
"3774","South-West (IRL)","1988","Rough grazing in use",NA
"3775","State","1989","Rough grazing in use",NA
"3776","Midlands and East","1989","Rough grazing in use",NA
"3777","North West","1989","Rough grazing in use",NA
"3778","West","1989","Rough grazing in use",NA
"3779","South-East (IRL)","1989","Rough grazing in use",NA
"3780","South-West (IRL)","1989","Rough grazing in use",NA
"3781","State","1990","Rough grazing in use",NA
"3782","Midlands and East","1990","Rough grazing in use",NA
"3783","North West","1990","Rough grazing in use",NA
"3784","West","1990","Rough grazing in use",NA
"3785","South-East (IRL)","1990","Rough grazing in use",NA
"3786","South-West (IRL)","1990","Rough grazing in use",NA
"3787","State","1991","Rough grazing in use",641.9
"3788","Midlands and East","1991","Rough grazing in use",38.3
"3789","North West","1991","Rough grazing in use",150
"3790","West","1991","Rough grazing in use",185.6
"3791","South-East (IRL)","1991","Rough grazing in use",71.5
"3792","South-West (IRL)","1991","Rough grazing in use",196.6
"3793","State","1992","Rough grazing in use",595.9
"3794","Midlands and East","1992","Rough grazing in use",37.5
"3795","North West","1992","Rough grazing in use",120.1
"3796","West","1992","Rough grazing in use",178.3
"3797","South-East (IRL)","1992","Rough grazing in use",66.5
"3798","South-West (IRL)","1992","Rough grazing in use",193.4
"3799","State","1993","Rough grazing in use",499.7
"3800","Midlands and East","1993","Rough grazing in use",28.7
"3801","North West","1993","Rough grazing in use",120.2
"3802","West","1993","Rough grazing in use",141.7
"3803","South-East (IRL)","1993","Rough grazing in use",54.9
"3804","South-West (IRL)","1993","Rough grazing in use",154.1
"3805","State","1994","Rough grazing in use",461.5
"3806","Midlands and East","1994","Rough grazing in use",27.7
"3807","North West","1994","Rough grazing in use",107
"3808","West","1994","Rough grazing in use",137.3
"3809","South-East (IRL)","1994","Rough grazing in use",51.4
"3810","South-West (IRL)","1994","Rough grazing in use",138
"3811","State","1995","Rough grazing in use",459.5
"3812","Midlands and East","1995","Rough grazing in use",28
"3813","North West","1995","Rough grazing in use",104.5
"3814","West","1995","Rough grazing in use",130
"3815","South-East (IRL)","1995","Rough grazing in use",55.8
"3816","South-West (IRL)","1995","Rough grazing in use",141.2
"3817","State","1996","Rough grazing in use",429
"3818","Midlands and East","1996","Rough grazing in use",23.8
"3819","North West","1996","Rough grazing in use",99.1
"3820","West","1996","Rough grazing in use",125.8
"3821","South-East (IRL)","1996","Rough grazing in use",47.4
"3822","South-West (IRL)","1996","Rough grazing in use",132.9
"3823","State","1997","Rough grazing in use",473.9
"3824","Midlands and East","1997","Rough grazing in use",30.4
"3825","North West","1997","Rough grazing in use",107.8
"3826","West","1997","Rough grazing in use",133.6
"3827","South-East (IRL)","1997","Rough grazing in use",55.8
"3828","South-West (IRL)","1997","Rough grazing in use",146.4
"3829","State","1998","Rough grazing in use",446.4
"3830","Midlands and East","1998","Rough grazing in use",23.1
"3831","North West","1998","Rough grazing in use",100.1
"3832","West","1998","Rough grazing in use",126.9
"3833","South-East (IRL)","1998","Rough grazing in use",50.5
"3834","South-West (IRL)","1998","Rough grazing in use",145.8
"3835","State","1999","Rough grazing in use",464.5
"3836","Midlands and East","1999","Rough grazing in use",30
"3837","North West","1999","Rough grazing in use",100
"3838","West","1999","Rough grazing in use",129.8
"3839","South-East (IRL)","1999","Rough grazing in use",55.3
"3840","South-West (IRL)","1999","Rough grazing in use",149.4
"3841","State","1980","Area farmed (AAU)",5704.4
"3842","Midlands and East","1980","Area farmed (AAU)",955.2
"3843","North West","1980","Area farmed (AAU)",956.6
"3844","West","1980","Area farmed (AAU)",1331.1
"3845","South-East (IRL)","1980","Area farmed (AAU)",1175.4
"3846","South-West (IRL)","1980","Area farmed (AAU)",1286.1
"3847","State","1981","Area farmed (AAU)",NA
"3848","Midlands and East","1981","Area farmed (AAU)",NA
"3849","North West","1981","Area farmed (AAU)",NA
"3850","West","1981","Area farmed (AAU)",NA
"3851","South-East (IRL)","1981","Area farmed (AAU)",NA
"3852","South-West (IRL)","1981","Area farmed (AAU)",NA
"3853","State","1982","Area farmed (AAU)",NA
"3854","Midlands and East","1982","Area farmed (AAU)",NA
"3855","North West","1982","Area farmed (AAU)",NA
"3856","West","1982","Area farmed (AAU)",NA
"3857","South-East (IRL)","1982","Area farmed (AAU)",NA
"3858","South-West (IRL)","1982","Area farmed (AAU)",NA
"3859","State","1983","Area farmed (AAU)",NA
"3860","Midlands and East","1983","Area farmed (AAU)",NA
"3861","North West","1983","Area farmed (AAU)",NA
"3862","West","1983","Area farmed (AAU)",NA
"3863","South-East (IRL)","1983","Area farmed (AAU)",NA
"3864","South-West (IRL)","1983","Area farmed (AAU)",NA
"3865","State","1984","Area farmed (AAU)",NA
"3866","Midlands and East","1984","Area farmed (AAU)",NA
"3867","North West","1984","Area farmed (AAU)",NA
"3868","West","1984","Area farmed (AAU)",NA
"3869","South-East (IRL)","1984","Area farmed (AAU)",NA
"3870","South-West (IRL)","1984","Area farmed (AAU)",NA
"3871","State","1985","Area farmed (AAU)",NA
"3872","Midlands and East","1985","Area farmed (AAU)",NA
"3873","North West","1985","Area farmed (AAU)",NA
"3874","West","1985","Area farmed (AAU)",NA
"3875","South-East (IRL)","1985","Area farmed (AAU)",NA
"3876","South-West (IRL)","1985","Area farmed (AAU)",NA
"3877","State","1986","Area farmed (AAU)",5694.1
"3878","Midlands and East","1986","Area farmed (AAU)",946.1
"3879","North West","1986","Area farmed (AAU)",957.1
"3880","West","1986","Area farmed (AAU)",1320.3
"3881","South-East (IRL)","1986","Area farmed (AAU)",1177.8
"3882","South-West (IRL)","1986","Area farmed (AAU)",1292.8
"3883","State","1987","Area farmed (AAU)",NA
"3884","Midlands and East","1987","Area farmed (AAU)",NA
"3885","North West","1987","Area farmed (AAU)",NA
"3886","West","1987","Area farmed (AAU)",NA
"3887","South-East (IRL)","1987","Area farmed (AAU)",NA
"3888","South-West (IRL)","1987","Area farmed (AAU)",NA
"3889","State","1988","Area farmed (AAU)",NA
"3890","Midlands and East","1988","Area farmed (AAU)",NA
"3891","North West","1988","Area farmed (AAU)",NA
"3892","West","1988","Area farmed (AAU)",NA
"3893","South-East (IRL)","1988","Area farmed (AAU)",NA
"3894","South-West (IRL)","1988","Area farmed (AAU)",NA
"3895","State","1989","Area farmed (AAU)",NA
"3896","Midlands and East","1989","Area farmed (AAU)",NA
"3897","North West","1989","Area farmed (AAU)",NA
"3898","West","1989","Area farmed (AAU)",NA
"3899","South-East (IRL)","1989","Area farmed (AAU)",NA
"3900","South-West (IRL)","1989","Area farmed (AAU)",NA
"3901","State","1990","Area farmed (AAU)",NA
"3902","Midlands and East","1990","Area farmed (AAU)",NA
"3903","North West","1990","Area farmed (AAU)",NA
"3904","West","1990","Area farmed (AAU)",NA
"3905","South-East (IRL)","1990","Area farmed (AAU)",NA
"3906","South-West (IRL)","1990","Area farmed (AAU)",NA
"3907","State","1991","Area farmed (AAU)",4441.8
"3908","Midlands and East","1991","Area farmed (AAU)",788
"3909","North West","1991","Area farmed (AAU)",686.7
"3910","West","1991","Area farmed (AAU)",934.4
"3911","South-East (IRL)","1991","Area farmed (AAU)",992.2
"3912","South-West (IRL)","1991","Area farmed (AAU)",1040.5
"3913","State","1992","Area farmed (AAU)",4413.2
"3914","Midlands and East","1992","Area farmed (AAU)",786.3
"3915","North West","1992","Area farmed (AAU)",656.5
"3916","West","1992","Area farmed (AAU)",935.4
"3917","South-East (IRL)","1992","Area farmed (AAU)",983.2
"3918","South-West (IRL)","1992","Area farmed (AAU)",1051.7
"3919","State","1993","Area farmed (AAU)",4404.3
"3920","Midlands and East","1993","Area farmed (AAU)",781.2
