"","Statistic","Agricultural.Product","Month","value"
"2637","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2002M08",93.349
"2638","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2002M08",NA
"2639","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2002M08",90.087
"2640","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2002M08",NA
"2641","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2002M08",93.095
"2642","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2002M08",NA
"2643","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2002M08",73.936
"2644","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2002M08",NA
"2645","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2002M08",78.057
"2646","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2002M08",NA
"2647","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2002M08",72.156
"2648","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2002M08",NA
"2649","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2002M08",94.376
"2650","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2002M08",NA
"2651","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2002M08",87.339
"2652","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2002M08",NA
"2653","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2002M08",84.876
"2654","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2002M08",NA
"2655","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2002M08",88.352
"2656","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2002M08",NA
"2657","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2002M08",93.569
"2658","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2002M08",NA
"2659","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2002M08",88.014
"2660","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2002M08",NA
"2661","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2002M08",95.273
"2662","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2002M08",NA
"2663","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2002M08",99.105
"2664","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2002M08",NA
"2665","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2002M08",93.619
"2666","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2002M08",NA
"2667","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2002M08",98.068
"2668","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2002M08",NA
"2669","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2002M08",93.072
"2670","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2002M08",NA
"2671","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2002M08",98.625
"2672","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2002M08",NA
"2673","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2002M08",99.5
"2674","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2002M08",NA
"2675","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2002M08",99.432
"2676","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2002M08",NA
"2677","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2002M08",97.391
"2678","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2002M08",NA
"2679","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2002M08",97.699
"2680","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2002M08",NA
"2681","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2002M08",98.625
"2682","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2002M08",NA
"2683","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2002M08",88.832
"2684","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2002M08",NA
"2685","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2002M08",89.405
"2686","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2002M08",NA
"2687","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2002M08",98.508
"2688","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2002M08",NA
"2689","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2002M09",97.682
"2690","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2002M09",98.258
"2691","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2002M09",110.523
"2692","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2002M09",NA
"2693","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2002M09",94.968
"2694","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2002M09",NA
"2695","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2002M09",107.812
"2696","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2002M09",105.359
"2697","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2002M09",147.362
"2698","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2002M09",120.096
"2699","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2002M09",95.314
"2700","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2002M09",NA
"2701","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2002M09",89.706
"2702","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2002M09",NA
"2703","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2002M09",85.134
"2704","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2002M09",88.25
"2705","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2002M09",84.823
"2706","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2002M09",NA
"2707","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2002M09",109.558
"2708","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2002M09",NA
"2709","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2002M09",95.583
"2710","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2002M09",97.117
"2711","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2002M09",104.024
"2712","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2002M09",111.6
"2713","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2002M09",97.393
"2714","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2002M09",NA
"2715","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2002M09",104.238
"2716","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2002M09",NA
"2717","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2002M09",104.466
"2718","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2002M09",103.797
"2719","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2002M09",97.999
"2720","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2002M09",NA
"2721","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2002M09",82.251
"2722","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2002M09",NA
"2723","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2002M09",90.259
"2724","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2002M09",NA
"2725","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2002M09",93.095
"2726","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2002M09",NA
"2727","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2002M09",75.052
"2728","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2002M09",NA
"2729","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2002M09",78.057
"2730","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2002M09",NA
"2731","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2002M09",73.551
"2732","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2002M09",NA
"2733","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2002M09",94.376
"2734","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2002M09",NA
"2735","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2002M09",87.039
"2736","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2002M09",NA
"2737","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2002M09",84.712
"2738","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2002M09",NA
"2739","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2002M09",87.945
"2740","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2002M09",NA
"2741","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2002M09",93.502
"2742","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2002M09",NA
"2743","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2002M09",87.586
"2744","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2002M09",NA
"2745","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2002M09",95.273
"2746","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2002M09",NA
"2747","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2002M09",99.24
"2748","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2002M09",NA
"2749","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2002M09",93.594
"2750","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2002M09",NA
"2751","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2002M09",98.01
"2752","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2002M09",NA
"2753","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2002M09",92.462
"2754","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2002M09",NA
"2755","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2002M09",98.629
