"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"8634","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M06","Cattle (Including Calves)",24.3
"8635","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M06","Cattle (Including Calves)",NA
"8636","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M06","Cattle (Including Calves)",NA
"8637","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M06","Cattle (Including Calves)",NA
"8638","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M06","Cattle (Including Calves)",NA
"8639","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M06","Cattle (Including Calves)",NA
"8640","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M06","Cattle (Including Calves)",NA
"8641","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M07","Cattle (Including Calves)",100
"8642","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M07","Cattle (Including Calves)",27.3
"8643","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M07","Cattle (Including Calves)",NA
"8644","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M07","Cattle (Including Calves)",NA
"8645","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M07","Cattle (Including Calves)",NA
"8646","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M07","Cattle (Including Calves)",NA
"8647","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M07","Cattle (Including Calves)",NA
"8648","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M07","Cattle (Including Calves)",NA
"8649","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M08","Cattle (Including Calves)",109.2
"8650","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M08","Cattle (Including Calves)",30.1
"8651","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M08","Cattle (Including Calves)",NA
"8652","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M08","Cattle (Including Calves)",NA
"8653","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M08","Cattle (Including Calves)",NA
"8654","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M08","Cattle (Including Calves)",NA
"8655","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M08","Cattle (Including Calves)",NA
"8656","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M08","Cattle (Including Calves)",NA
"8657","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M09","Cattle (Including Calves)",140.6
"8658","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M09","Cattle (Including Calves)",39.6
"8659","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M09","Cattle (Including Calves)",NA
"8660","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M09","Cattle (Including Calves)",NA
"8661","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M09","Cattle (Including Calves)",NA
"8662","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M09","Cattle (Including Calves)",NA
"8663","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M09","Cattle (Including Calves)",NA
"8664","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M09","Cattle (Including Calves)",NA
"8665","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M10","Cattle (Including Calves)",152.3
"8666","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M10","Cattle (Including Calves)",42.3
"8667","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M10","Cattle (Including Calves)",NA
"8668","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M10","Cattle (Including Calves)",NA
"8669","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M10","Cattle (Including Calves)",NA
"8670","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M10","Cattle (Including Calves)",NA
"8671","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M10","Cattle (Including Calves)",NA
"8672","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M10","Cattle (Including Calves)",NA
"8673","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M11","Cattle (Including Calves)",128.3
"8674","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M11","Cattle (Including Calves)",34.8
"8675","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M11","Cattle (Including Calves)",NA
"8676","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M11","Cattle (Including Calves)",NA
"8677","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M11","Cattle (Including Calves)",NA
"8678","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M11","Cattle (Including Calves)",NA
"8679","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M11","Cattle (Including Calves)",NA
"8680","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M11","Cattle (Including Calves)",NA
"8681","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M12","Cattle (Including Calves)",87
"8682","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M12","Cattle (Including Calves)",23.1
"8683","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M12","Cattle (Including Calves)",NA
"8684","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M12","Cattle (Including Calves)",NA
"8685","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M12","Cattle (Including Calves)",NA
"8686","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M12","Cattle (Including Calves)",NA
"8687","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M12","Cattle (Including Calves)",NA
"8688","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M12","Cattle (Including Calves)",NA
"8689","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M01","Cattle (Including Calves)",70.9
"8690","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M01","Cattle (Including Calves)",18.7
"8691","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M01","Cattle (Including Calves)",NA
"8692","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M01","Cattle (Including Calves)",NA
"8693","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M01","Cattle (Including Calves)",NA
"8694","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M01","Cattle (Including Calves)",NA
"8695","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M01","Cattle (Including Calves)",NA
"8696","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M01","Cattle (Including Calves)",NA
"8697","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M02","Cattle (Including Calves)",71.2
"8698","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M02","Cattle (Including Calves)",18.9
"8699","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M02","Cattle (Including Calves)",NA
"8700","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M02","Cattle (Including Calves)",NA
"8701","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M02","Cattle (Including Calves)",NA
"8702","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M02","Cattle (Including Calves)",NA
"8703","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M02","Cattle (Including Calves)",NA
"8704","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M02","Cattle (Including Calves)",NA
"8705","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M03","Cattle (Including Calves)",81.5
"8706","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M03","Cattle (Including Calves)",21.8
"8707","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M03","Cattle (Including Calves)",NA
"8708","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M03","Cattle (Including Calves)",NA
"8709","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M03","Cattle (Including Calves)",NA
"8710","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M03","Cattle (Including Calves)",NA
"8711","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M03","Cattle (Including Calves)",NA
"8712","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M03","Cattle (Including Calves)",NA
"8713","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M04","Cattle (Including Calves)",76.6
"8714","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M04","Cattle (Including Calves)",21
"8715","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M04","Cattle (Including Calves)",NA
"8716","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M04","Cattle (Including Calves)",NA
"8717","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M04","Cattle (Including Calves)",NA
"8718","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M04","Cattle (Including Calves)",NA
"8719","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M04","Cattle (Including Calves)",NA
"8720","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M04","Cattle (Including Calves)",NA
"8721","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M05","Cattle (Including Calves)",73.2
"8722","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M05","Cattle (Including Calves)",19.9
"8723","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M05","Cattle (Including Calves)",NA
"8724","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M05","Cattle (Including Calves)",NA
"8725","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M05","Cattle (Including Calves)",NA
"8726","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M05","Cattle (Including Calves)",NA
"8727","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M05","Cattle (Including Calves)",NA
"8728","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M05","Cattle (Including Calves)",NA
"8729","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M06","Cattle (Including Calves)",87.5
"8730","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M06","Cattle (Including Calves)",24.6
"8731","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M06","Cattle (Including Calves)",NA
"8732","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M06","Cattle (Including Calves)",NA
"8733","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M06","Cattle (Including Calves)",NA
"8734","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M06","Cattle (Including Calves)",NA
"8735","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M06","Cattle (Including Calves)",NA
"8736","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M06","Cattle (Including Calves)",NA
"8737","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M07","Cattle (Including Calves)",101.9
"8738","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M07","Cattle (Including Calves)",28.8
"8739","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M07","Cattle (Including Calves)",NA
"8740","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M07","Cattle (Including Calves)",NA
"8741","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M07","Cattle (Including Calves)",NA
"8742","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M07","Cattle (Including Calves)",NA
"8743","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M07","Cattle (Including Calves)",NA
"8744","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M07","Cattle (Including Calves)",NA
"8745","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M08","Cattle (Including Calves)",123.2
"8746","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M08","Cattle (Including Calves)",35.8
"8747","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M08","Cattle (Including Calves)",NA
"8748","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M08","Cattle (Including Calves)",NA
"8749","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M08","Cattle (Including Calves)",NA
"8750","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M08","Cattle (Including Calves)",NA
"8751","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M08","Cattle (Including Calves)",NA
