"","Statistic","Month","Type.of.Animal","value"
"8453","Number of Livestock Slaughtered (000 Head)","2011M11","Sheep",217.53
"8454","Weight of Livestock Slaughtered (000 Tonnes)","2011M11","Sheep",4.34
"8455","Number of Livestock Slaughtered (000 Head)","2011M12","Sheep",209.13
"8456","Weight of Livestock Slaughtered (000 Tonnes)","2011M12","Sheep",4.16
"8457","Number of Livestock Slaughtered (000 Head)","2012M01","Sheep",177.25
"8458","Weight of Livestock Slaughtered (000 Tonnes)","2012M01","Sheep",3.53
"8459","Number of Livestock Slaughtered (000 Head)","2012M02","Sheep",151.85
"8460","Weight of Livestock Slaughtered (000 Tonnes)","2012M02","Sheep",3.03
"8461","Number of Livestock Slaughtered (000 Head)","2012M03","Sheep",146.83
"8462","Weight of Livestock Slaughtered (000 Tonnes)","2012M03","Sheep",2.93
"8463","Number of Livestock Slaughtered (000 Head)","2012M04","Sheep",166.64
"8464","Weight of Livestock Slaughtered (000 Tonnes)","2012M04","Sheep",3.32
"8465","Number of Livestock Slaughtered (000 Head)","2012M05","Sheep",226.53
"8466","Weight of Livestock Slaughtered (000 Tonnes)","2012M05","Sheep",4.49
"8467","Number of Livestock Slaughtered (000 Head)","2012M06","Sheep",214.6
"8468","Weight of Livestock Slaughtered (000 Tonnes)","2012M06","Sheep",4.24
"8469","Number of Livestock Slaughtered (000 Head)","2012M07","Sheep",257.25
"8470","Weight of Livestock Slaughtered (000 Tonnes)","2012M07","Sheep",5.11
"8471","Number of Livestock Slaughtered (000 Head)","2012M08","Sheep",292.6
"8472","Weight of Livestock Slaughtered (000 Tonnes)","2012M08","Sheep",5.86
"8473","Number of Livestock Slaughtered (000 Head)","2012M09","Sheep",259.17
"8474","Weight of Livestock Slaughtered (000 Tonnes)","2012M09","Sheep",5.22
"8475","Number of Livestock Slaughtered (000 Head)","2012M10","Sheep",300.38
"8476","Weight of Livestock Slaughtered (000 Tonnes)","2012M10","Sheep",6.04
"8477","Number of Livestock Slaughtered (000 Head)","2012M11","Sheep",266.64
"8478","Weight of Livestock Slaughtered (000 Tonnes)","2012M11","Sheep",5.36
"8479","Number of Livestock Slaughtered (000 Head)","2012M12","Sheep",231.08
"8480","Weight of Livestock Slaughtered (000 Tonnes)","2012M12","Sheep",4.6
"8481","Number of Livestock Slaughtered (000 Head)","2013M01","Sheep",234.89
"8482","Weight of Livestock Slaughtered (000 Tonnes)","2013M01","Sheep",4.58
"8483","Number of Livestock Slaughtered (000 Head)","2013M02","Sheep",189.26
"8484","Weight of Livestock Slaughtered (000 Tonnes)","2013M02","Sheep",3.77
"8485","Number of Livestock Slaughtered (000 Head)","2013M03","Sheep",207.71
"8486","Weight of Livestock Slaughtered (000 Tonnes)","2013M03","Sheep",4.11
"8487","Number of Livestock Slaughtered (000 Head)","2013M04","Sheep",179.76
"8488","Weight of Livestock Slaughtered (000 Tonnes)","2013M04","Sheep",3.59
"8489","Number of Livestock Slaughtered (000 Head)","2013M05","Sheep",200.14
"8490","Weight of Livestock Slaughtered (000 Tonnes)","2013M05","Sheep",3.98
"8491","Number of Livestock Slaughtered (000 Head)","2013M06","Sheep",213.61
"8492","Weight of Livestock Slaughtered (000 Tonnes)","2013M06","Sheep",4.22
"8493","Number of Livestock Slaughtered (000 Head)","2013M07","Sheep",286.1
"8494","Weight of Livestock Slaughtered (000 Tonnes)","2013M07","Sheep",5.67
"8495","Number of Livestock Slaughtered (000 Head)","2013M08","Sheep",282.13
"8496","Weight of Livestock Slaughtered (000 Tonnes)","2013M08","Sheep",5.61
"8497","Number of Livestock Slaughtered (000 Head)","2013M09","Sheep",280.61
"8498","Weight of Livestock Slaughtered (000 Tonnes)","2013M09","Sheep",5.69
"8499","Number of Livestock Slaughtered (000 Head)","2013M10","Sheep",302.19
"8500","Weight of Livestock Slaughtered (000 Tonnes)","2013M10","Sheep",6.09
"8501","Number of Livestock Slaughtered (000 Head)","2013M11","Sheep",266.91
"8502","Weight of Livestock Slaughtered (000 Tonnes)","2013M11","Sheep",5.46
"8503","Number of Livestock Slaughtered (000 Head)","2013M12","Sheep",230.78
"8504","Weight of Livestock Slaughtered (000 Tonnes)","2013M12","Sheep",4.7
"8505","Number of Livestock Slaughtered (000 Head)","2014M01","Sheep",207.11
"8506","Weight of Livestock Slaughtered (000 Tonnes)","2014M01","Sheep",4.29
"8507","Number of Livestock Slaughtered (000 Head)","2014M02","Sheep",176.61
"8508","Weight of Livestock Slaughtered (000 Tonnes)","2014M02","Sheep",3.63
"8509","Number of Livestock Slaughtered (000 Head)","2014M03","Sheep",168.77
"8510","Weight of Livestock Slaughtered (000 Tonnes)","2014M03","Sheep",3.51
"8511","Number of Livestock Slaughtered (000 Head)","2014M04","Sheep",209.16
"8512","Weight of Livestock Slaughtered (000 Tonnes)","2014M04","Sheep",4.28
"8513","Number of Livestock Slaughtered (000 Head)","2014M05","Sheep",210.32
"8514","Weight of Livestock Slaughtered (000 Tonnes)","2014M05","Sheep",4.26
"8515","Number of Livestock Slaughtered (000 Head)","1975M01","Lambs",NA
"8516","Weight of Livestock Slaughtered (000 Tonnes)","1975M01","Lambs",NA
"8517","Number of Livestock Slaughtered (000 Head)","1975M02","Lambs",NA
"8518","Weight of Livestock Slaughtered (000 Tonnes)","1975M02","Lambs",NA
"8519","Number of Livestock Slaughtered (000 Head)","1975M03","Lambs",NA
"8520","Weight of Livestock Slaughtered (000 Tonnes)","1975M03","Lambs",NA
"8521","Number of Livestock Slaughtered (000 Head)","1975M04","Lambs",NA
"8522","Weight of Livestock Slaughtered (000 Tonnes)","1975M04","Lambs",NA
"8523","Number of Livestock Slaughtered (000 Head)","1975M05","Lambs",NA
"8524","Weight of Livestock Slaughtered (000 Tonnes)","1975M05","Lambs",NA
"8525","Number of Livestock Slaughtered (000 Head)","1975M06","Lambs",NA
"8526","Weight of Livestock Slaughtered (000 Tonnes)","1975M06","Lambs",NA
"8527","Number of Livestock Slaughtered (000 Head)","1975M07","Lambs",NA
"8528","Weight of Livestock Slaughtered (000 Tonnes)","1975M07","Lambs",NA
"8529","Number of Livestock Slaughtered (000 Head)","1975M08","Lambs",NA
"8530","Weight of Livestock Slaughtered (000 Tonnes)","1975M08","Lambs",NA
"8531","Number of Livestock Slaughtered (000 Head)","1975M09","Lambs",NA
"8532","Weight of Livestock Slaughtered (000 Tonnes)","1975M09","Lambs",NA
"8533","Number of Livestock Slaughtered (000 Head)","1975M10","Lambs",NA
"8534","Weight of Livestock Slaughtered (000 Tonnes)","1975M10","Lambs",NA
"8535","Number of Livestock Slaughtered (000 Head)","1975M11","Lambs",NA
"8536","Weight of Livestock Slaughtered (000 Tonnes)","1975M11","Lambs",NA
"8537","Number of Livestock Slaughtered (000 Head)","1975M12","Lambs",NA
"8538","Weight of Livestock Slaughtered (000 Tonnes)","1975M12","Lambs",NA
"8539","Number of Livestock Slaughtered (000 Head)","1976M01","Lambs",NA
"8540","Weight of Livestock Slaughtered (000 Tonnes)","1976M01","Lambs",NA
"8541","Number of Livestock Slaughtered (000 Head)","1976M02","Lambs",NA
"8542","Weight of Livestock Slaughtered (000 Tonnes)","1976M02","Lambs",NA
"8543","Number of Livestock Slaughtered (000 Head)","1976M03","Lambs",NA
"8544","Weight of Livestock Slaughtered (000 Tonnes)","1976M03","Lambs",NA
"8545","Number of Livestock Slaughtered (000 Head)","1976M04","Lambs",NA
"8546","Weight of Livestock Slaughtered (000 Tonnes)","1976M04","Lambs",NA
"8547","Number of Livestock Slaughtered (000 Head)","1976M05","Lambs",NA
"8548","Weight of Livestock Slaughtered (000 Tonnes)","1976M05","Lambs",NA
"8549","Number of Livestock Slaughtered (000 Head)","1976M06","Lambs",NA
"8550","Weight of Livestock Slaughtered (000 Tonnes)","1976M06","Lambs",NA
"8551","Number of Livestock Slaughtered (000 Head)","1976M07","Lambs",NA
"8552","Weight of Livestock Slaughtered (000 Tonnes)","1976M07","Lambs",NA
"8553","Number of Livestock Slaughtered (000 Head)","1976M08","Lambs",NA
"8554","Weight of Livestock Slaughtered (000 Tonnes)","1976M08","Lambs",NA
"8555","Number of Livestock Slaughtered (000 Head)","1976M09","Lambs",NA
"8556","Weight of Livestock Slaughtered (000 Tonnes)","1976M09","Lambs",NA
"8557","Number of Livestock Slaughtered (000 Head)","1976M10","Lambs",NA
"8558","Weight of Livestock Slaughtered (000 Tonnes)","1976M10","Lambs",NA
"8559","Number of Livestock Slaughtered (000 Head)","1976M11","Lambs",NA
"8560","Weight of Livestock Slaughtered (000 Tonnes)","1976M11","Lambs",NA
"8561","Number of Livestock Slaughtered (000 Head)","1976M12","Lambs",NA
"8562","Weight of Livestock Slaughtered (000 Tonnes)","1976M12","Lambs",NA
"8563","Number of Livestock Slaughtered (000 Head)","1977M01","Lambs",NA
"8564","Weight of Livestock Slaughtered (000 Tonnes)","1977M01","Lambs",NA
"8565","Number of Livestock Slaughtered (000 Head)","1977M02","Lambs",NA
"8566","Weight of Livestock Slaughtered (000 Tonnes)","1977M02","Lambs",NA
"8567","Number of Livestock Slaughtered (000 Head)","1977M03","Lambs",NA
"8568","Weight of Livestock Slaughtered (000 Tonnes)","1977M03","Lambs",NA
"8569","Number of Livestock Slaughtered (000 Head)","1977M04","Lambs",NA
"8570","Weight of Livestock Slaughtered (000 Tonnes)","1977M04","Lambs",NA
"8571","Number of Livestock Slaughtered (000 Head)","1977M05","Lambs",NA
"8572","Weight of Livestock Slaughtered (000 Tonnes)","1977M05","Lambs",NA
"8573","Number of Livestock Slaughtered (000 Head)","1977M06","Lambs",NA
"8574","Weight of Livestock Slaughtered (000 Tonnes)","1977M06","Lambs",NA
"8575","Number of Livestock Slaughtered (000 Head)","1977M07","Lambs",NA
"8576","Weight of Livestock Slaughtered (000 Tonnes)","1977M07","Lambs",NA
"8577","Number of Livestock Slaughtered (000 Head)","1977M08","Lambs",NA
"8578","Weight of Livestock Slaughtered (000 Tonnes)","1977M08","Lambs",NA
"8579","Number of Livestock Slaughtered (000 Head)","1977M09","Lambs",NA
"8580","Weight of Livestock Slaughtered (000 Tonnes)","1977M09","Lambs",NA
"8581","Number of Livestock Slaughtered (000 Head)","1977M10","Lambs",NA
"8582","Weight of Livestock Slaughtered (000 Tonnes)","1977M10","Lambs",NA
"8583","Number of Livestock Slaughtered (000 Head)","1977M11","Lambs",NA
"8584","Weight of Livestock Slaughtered (000 Tonnes)","1977M11","Lambs",NA
"8585","Number of Livestock Slaughtered (000 Head)","1977M12","Lambs",NA
"8586","Weight of Livestock Slaughtered (000 Tonnes)","1977M12","Lambs",NA
"8587","Number of Livestock Slaughtered (000 Head)","1978M01","Lambs",NA
"8588","Weight of Livestock Slaughtered (000 Tonnes)","1978M01","Lambs",NA
"8589","Number of Livestock Slaughtered (000 Head)","1978M02","Lambs",NA
"8590","Weight of Livestock Slaughtered (000 Tonnes)","1978M02","Lambs",NA
"8591","Number of Livestock Slaughtered (000 Head)","1978M03","Lambs",NA
"8592","Weight of Livestock Slaughtered (000 Tonnes)","1978M03","Lambs",NA
"8593","Number of Livestock Slaughtered (000 Head)","1978M04","Lambs",NA
"8594","Weight of Livestock Slaughtered (000 Tonnes)","1978M04","Lambs",NA
"8595","Number of Livestock Slaughtered (000 Head)","1978M05","Lambs",NA
"8596","Weight of Livestock Slaughtered (000 Tonnes)","1978M05","Lambs",NA
"8597","Number of Livestock Slaughtered (000 Head)","1978M06","Lambs",NA
"8598","Weight of Livestock Slaughtered (000 Tonnes)","1978M06","Lambs",NA
"8599","Number of Livestock Slaughtered (000 Head)","1978M07","Lambs",NA
"8600","Weight of Livestock Slaughtered (000 Tonnes)","1978M07","Lambs",NA
"8601","Number of Livestock Slaughtered (000 Head)","1978M08","Lambs",NA
"8602","Weight of Livestock Slaughtered (000 Tonnes)","1978M08","Lambs",NA
"8603","Number of Livestock Slaughtered (000 Head)","1978M09","Lambs",NA
"8604","Weight of Livestock Slaughtered (000 Tonnes)","1978M09","Lambs",NA
"8605","Number of Livestock Slaughtered (000 Head)","1978M10","Lambs",NA
"8606","Weight of Livestock Slaughtered (000 Tonnes)","1978M10","Lambs",NA
"8607","Number of Livestock Slaughtered (000 Head)","1978M11","Lambs",NA
"8608","Weight of Livestock Slaughtered (000 Tonnes)","1978M11","Lambs",NA
"8609","Number of Livestock Slaughtered (000 Head)","1978M12","Lambs",NA
"8610","Weight of Livestock Slaughtered (000 Tonnes)","1978M12","Lambs",NA
"8611","Number of Livestock Slaughtered (000 Head)","1979M01","Lambs",NA
"8612","Weight of Livestock Slaughtered (000 Tonnes)","1979M01","Lambs",NA
"8613","Number of Livestock Slaughtered (000 Head)","1979M02","Lambs",NA
"8614","Weight of Livestock Slaughtered (000 Tonnes)","1979M02","Lambs",NA
"8615","Number of Livestock Slaughtered (000 Head)","1979M03","Lambs",NA
"8616","Weight of Livestock Slaughtered (000 Tonnes)","1979M03","Lambs",NA
"8617","Number of Livestock Slaughtered (000 Head)","1979M04","Lambs",NA
"8618","Weight of Livestock Slaughtered (000 Tonnes)","1979M04","Lambs",NA
"8619","Number of Livestock Slaughtered (000 Head)","1979M05","Lambs",NA
"8620","Weight of Livestock Slaughtered (000 Tonnes)","1979M05","Lambs",NA
"8621","Number of Livestock Slaughtered (000 Head)","1979M06","Lambs",NA
"8622","Weight of Livestock Slaughtered (000 Tonnes)","1979M06","Lambs",NA
"8623","Number of Livestock Slaughtered (000 Head)","1979M07","Lambs",NA
"8624","Weight of Livestock Slaughtered (000 Tonnes)","1979M07","Lambs",NA
"8625","Number of Livestock Slaughtered (000 Head)","1979M08","Lambs",NA
"8626","Weight of Livestock Slaughtered (000 Tonnes)","1979M08","Lambs",NA
"8627","Number of Livestock Slaughtered (000 Head)","1979M09","Lambs",NA
"8628","Weight of Livestock Slaughtered (000 Tonnes)","1979M09","Lambs",NA
"8629","Number of Livestock Slaughtered (000 Head)","1979M10","Lambs",NA
"8630","Weight of Livestock Slaughtered (000 Tonnes)","1979M10","Lambs",NA
"8631","Number of Livestock Slaughtered (000 Head)","1979M11","Lambs",NA
"8632","Weight of Livestock Slaughtered (000 Tonnes)","1979M11","Lambs",NA
"8633","Number of Livestock Slaughtered (000 Head)","1979M12","Lambs",NA
"8634","Weight of Livestock Slaughtered (000 Tonnes)","1979M12","Lambs",NA
"8635","Number of Livestock Slaughtered (000 Head)","1980M01","Lambs",123.1
"8636","Weight of Livestock Slaughtered (000 Tonnes)","1980M01","Lambs",2.6
"8637","Number of Livestock Slaughtered (000 Head)","1980M02","Lambs",113.8
"8638","Weight of Livestock Slaughtered (000 Tonnes)","1980M02","Lambs",2.4
"8639","Number of Livestock Slaughtered (000 Head)","1980M03","Lambs",104.5
"8640","Weight of Livestock Slaughtered (000 Tonnes)","1980M03","Lambs",2.2
"8641","Number of Livestock Slaughtered (000 Head)","1980M04","Lambs",90.1
"8642","Weight of Livestock Slaughtered (000 Tonnes)","1980M04","Lambs",2
"8643","Number of Livestock Slaughtered (000 Head)","1980M05","Lambs",108.8
"8644","Weight of Livestock Slaughtered (000 Tonnes)","1980M05","Lambs",2.4
"8645","Number of Livestock Slaughtered (000 Head)","1980M06","Lambs",92.3
"8646","Weight of Livestock Slaughtered (000 Tonnes)","1980M06","Lambs",2.1
"8647","Number of Livestock Slaughtered (000 Head)","1980M07","Lambs",100.7
"8648","Weight of Livestock Slaughtered (000 Tonnes)","1980M07","Lambs",2.2
"8649","Number of Livestock Slaughtered (000 Head)","1980M08","Lambs",99.9
"8650","Weight of Livestock Slaughtered (000 Tonnes)","1980M08","Lambs",2.3
"8651","Number of Livestock Slaughtered (000 Head)","1980M09","Lambs",120.9
"8652","Weight of Livestock Slaughtered (000 Tonnes)","1980M09","Lambs",2.8
"8653","Number of Livestock Slaughtered (000 Head)","1980M10","Lambs",153.4
"8654","Weight of Livestock Slaughtered (000 Tonnes)","1980M10","Lambs",3.3
"8655","Number of Livestock Slaughtered (000 Head)","1980M11","Lambs",165.7
"8656","Weight of Livestock Slaughtered (000 Tonnes)","1980M11","Lambs",3.5
"8657","Number of Livestock Slaughtered (000 Head)","1980M12","Lambs",171.8
"8658","Weight of Livestock Slaughtered (000 Tonnes)","1980M12","Lambs",3.6
"8659","Number of Livestock Slaughtered (000 Head)","1981M01","Lambs",141.9
"8660","Weight of Livestock Slaughtered (000 Tonnes)","1981M01","Lambs",3.1
"8661","Number of Livestock Slaughtered (000 Head)","1981M02","Lambs",119.5
"8662","Weight of Livestock Slaughtered (000 Tonnes)","1981M02","Lambs",2.6
"8663","Number of Livestock Slaughtered (000 Head)","1981M03","Lambs",94.6
"8664","Weight of Livestock Slaughtered (000 Tonnes)","1981M03","Lambs",2.1
"8665","Number of Livestock Slaughtered (000 Head)","1981M04","Lambs",89.8
"8666","Weight of Livestock Slaughtered (000 Tonnes)","1981M04","Lambs",1.9
"8667","Number of Livestock Slaughtered (000 Head)","1981M05","Lambs",121.9
"8668","Weight of Livestock Slaughtered (000 Tonnes)","1981M05","Lambs",2.8
"8669","Number of Livestock Slaughtered (000 Head)","1981M06","Lambs",160.2
"8670","Weight of Livestock Slaughtered (000 Tonnes)","1981M06","Lambs",3.6
"8671","Number of Livestock Slaughtered (000 Head)","1981M07","Lambs",165.8
"8672","Weight of Livestock Slaughtered (000 Tonnes)","1981M07","Lambs",3.7
"8673","Number of Livestock Slaughtered (000 Head)","1981M08","Lambs",147.6
"8674","Weight of Livestock Slaughtered (000 Tonnes)","1981M08","Lambs",3.4
"8675","Number of Livestock Slaughtered (000 Head)","1981M09","Lambs",130
"8676","Weight of Livestock Slaughtered (000 Tonnes)","1981M09","Lambs",3
"8677","Number of Livestock Slaughtered (000 Head)","1981M10","Lambs",109.2
"8678","Weight of Livestock Slaughtered (000 Tonnes)","1981M10","Lambs",2.5
"8679","Number of Livestock Slaughtered (000 Head)","1981M11","Lambs",94.9
"8680","Weight of Livestock Slaughtered (000 Tonnes)","1981M11","Lambs",2.2
"8681","Number of Livestock Slaughtered (000 Head)","1981M12","Lambs",93.4
"8682","Weight of Livestock Slaughtered (000 Tonnes)","1981M12","Lambs",2.2
"8683","Number of Livestock Slaughtered (000 Head)","1982M01","Lambs",68.2
"8684","Weight of Livestock Slaughtered (000 Tonnes)","1982M01","Lambs",1.6
"8685","Number of Livestock Slaughtered (000 Head)","1982M02","Lambs",62.2
"8686","Weight of Livestock Slaughtered (000 Tonnes)","1982M02","Lambs",1.5
"8687","Number of Livestock Slaughtered (000 Head)","1982M03","Lambs",78.9
"8688","Weight of Livestock Slaughtered (000 Tonnes)","1982M03","Lambs",1.8
"8689","Number of Livestock Slaughtered (000 Head)","1982M04","Lambs",80.9
"8690","Weight of Livestock Slaughtered (000 Tonnes)","1982M04","Lambs",1.9
"8691","Number of Livestock Slaughtered (000 Head)","1982M05","Lambs",101.1
"8692","Weight of Livestock Slaughtered (000 Tonnes)","1982M05","Lambs",2.3
"8693","Number of Livestock Slaughtered (000 Head)","1982M06","Lambs",126.8
"8694","Weight of Livestock Slaughtered (000 Tonnes)","1982M06","Lambs",2.9
"8695","Number of Livestock Slaughtered (000 Head)","1982M07","Lambs",150.2
"8696","Weight of Livestock Slaughtered (000 Tonnes)","1982M07","Lambs",3.4
