"","Statistic","Month","Type.of.Cattle","value"
"5075","Cattle Price per Head (Euro)","1995M10","Bullocks 450-499kg",747.51
"5076","Cattle Price per 100 Kg (Euro)","1995M10","Bullocks 450-499kg",158.33
"5077","Cattle Price per Head (Euro)","1995M11","Bullocks 450-499kg",751.75
"5078","Cattle Price per 100 Kg (Euro)","1995M11","Bullocks 450-499kg",159.15
"5079","Cattle Price per Head (Euro)","1995M12","Bullocks 450-499kg",733.77
"5080","Cattle Price per 100 Kg (Euro)","1995M12","Bullocks 450-499kg",155.47
"5081","Cattle Price per Head (Euro)","1996M01","Bullocks 450-499kg",744.04
"5082","Cattle Price per 100 Kg (Euro)","1996M01","Bullocks 450-499kg",156.94
"5083","Cattle Price per Head (Euro)","1996M02","Bullocks 450-499kg",759.57
"5084","Cattle Price per 100 Kg (Euro)","1996M02","Bullocks 450-499kg",160.38
"5085","Cattle Price per Head (Euro)","1996M03","Bullocks 450-499kg",770.76
"5086","Cattle Price per 100 Kg (Euro)","1996M03","Bullocks 450-499kg",162.65
"5087","Cattle Price per Head (Euro)","1996M04","Bullocks 450-499kg",731.39
"5088","Cattle Price per 100 Kg (Euro)","1996M04","Bullocks 450-499kg",156.35
"5089","Cattle Price per Head (Euro)","1996M05","Bullocks 450-499kg",720.11
"5090","Cattle Price per 100 Kg (Euro)","1996M05","Bullocks 450-499kg",150.14
"5091","Cattle Price per Head (Euro)","1996M06","Bullocks 450-499kg",701.89
"5092","Cattle Price per 100 Kg (Euro)","1996M06","Bullocks 450-499kg",148.15
"5093","Cattle Price per Head (Euro)","1996M07","Bullocks 450-499kg",645.73
"5094","Cattle Price per 100 Kg (Euro)","1996M07","Bullocks 450-499kg",137.36
"5095","Cattle Price per Head (Euro)","1996M08","Bullocks 450-499kg",614.27
"5096","Cattle Price per 100 Kg (Euro)","1996M08","Bullocks 450-499kg",129.95
"5097","Cattle Price per Head (Euro)","1996M09","Bullocks 450-499kg",611.9
"5098","Cattle Price per 100 Kg (Euro)","1996M09","Bullocks 450-499kg",129.58
"5099","Cattle Price per Head (Euro)","1996M10","Bullocks 450-499kg",614.33
"5100","Cattle Price per 100 Kg (Euro)","1996M10","Bullocks 450-499kg",130.5
"5101","Cattle Price per Head (Euro)","1996M11","Bullocks 450-499kg",635.75
"5102","Cattle Price per 100 Kg (Euro)","1996M11","Bullocks 450-499kg",135.63
"5103","Cattle Price per Head (Euro)","1996M12","Bullocks 450-499kg",643.68
"5104","Cattle Price per 100 Kg (Euro)","1996M12","Bullocks 450-499kg",137.06
"5105","Cattle Price per Head (Euro)","1997M01","Bullocks 450-499kg",635.15
"5106","Cattle Price per 100 Kg (Euro)","1997M01","Bullocks 450-499kg",135.15
"5107","Cattle Price per Head (Euro)","1997M02","Bullocks 450-499kg",641.67
"5108","Cattle Price per 100 Kg (Euro)","1997M02","Bullocks 450-499kg",135.41
"5109","Cattle Price per Head (Euro)","1997M03","Bullocks 450-499kg",690.06
"5110","Cattle Price per 100 Kg (Euro)","1997M03","Bullocks 450-499kg",146.01
"5111","Cattle Price per Head (Euro)","1997M04","Bullocks 450-499kg",660.14
"5112","Cattle Price per 100 Kg (Euro)","1997M04","Bullocks 450-499kg",139.67
"5113","Cattle Price per Head (Euro)","1997M05","Bullocks 450-499kg",651.5
"5114","Cattle Price per 100 Kg (Euro)","1997M05","Bullocks 450-499kg",138.07
"5115","Cattle Price per Head (Euro)","1997M06","Bullocks 450-499kg",631.64
"5116","Cattle Price per 100 Kg (Euro)","1997M06","Bullocks 450-499kg",133.44
"5117","Cattle Price per Head (Euro)","1997M07","Bullocks 450-499kg",639.66
"5118","Cattle Price per 100 Kg (Euro)","1997M07","Bullocks 450-499kg",135.02
"5119","Cattle Price per Head (Euro)","1997M08","Bullocks 450-499kg",627.71
"5120","Cattle Price per 100 Kg (Euro)","1997M08","Bullocks 450-499kg",131.03
"5121","Cattle Price per Head (Euro)","1997M09","Bullocks 450-499kg",612.02
"5122","Cattle Price per 100 Kg (Euro)","1997M09","Bullocks 450-499kg",129.29
"5123","Cattle Price per Head (Euro)","1997M10","Bullocks 450-499kg",623.1
"5124","Cattle Price per 100 Kg (Euro)","1997M10","Bullocks 450-499kg",132.08
"5125","Cattle Price per Head (Euro)","1997M11","Bullocks 450-499kg",651.86
"5126","Cattle Price per 100 Kg (Euro)","1997M11","Bullocks 450-499kg",137.31
"5127","Cattle Price per Head (Euro)","1997M12","Bullocks 450-499kg",669.69
"5128","Cattle Price per 100 Kg (Euro)","1997M12","Bullocks 450-499kg",141.43
"5129","Cattle Price per Head (Euro)","1998M01","Bullocks 450-499kg",666.24
"5130","Cattle Price per 100 Kg (Euro)","1998M01","Bullocks 450-499kg",140.61
"5131","Cattle Price per Head (Euro)","1998M02","Bullocks 450-499kg",657.86
"5132","Cattle Price per 100 Kg (Euro)","1998M02","Bullocks 450-499kg",139.32
"5133","Cattle Price per Head (Euro)","1998M03","Bullocks 450-499kg",671.64
"5134","Cattle Price per 100 Kg (Euro)","1998M03","Bullocks 450-499kg",141.84
"5135","Cattle Price per Head (Euro)","1998M04","Bullocks 450-499kg",668.18
"5136","Cattle Price per 100 Kg (Euro)","1998M04","Bullocks 450-499kg",141.02
"5137","Cattle Price per Head (Euro)","1998M05","Bullocks 450-499kg",659.77
"5138","Cattle Price per 100 Kg (Euro)","1998M05","Bullocks 450-499kg",139.73
"5139","Cattle Price per Head (Euro)","1998M06","Bullocks 450-499kg",641.84
"5140","Cattle Price per 100 Kg (Euro)","1998M06","Bullocks 450-499kg",136.33
"5141","Cattle Price per Head (Euro)","1998M07","Bullocks 450-499kg",616.31
"5142","Cattle Price per 100 Kg (Euro)","1998M07","Bullocks 450-499kg",130.59
"5143","Cattle Price per Head (Euro)","1998M08","Bullocks 450-499kg",604.18
"5144","Cattle Price per 100 Kg (Euro)","1998M08","Bullocks 450-499kg",128.29
"5145","Cattle Price per Head (Euro)","1998M09","Bullocks 450-499kg",584.44
"5146","Cattle Price per 100 Kg (Euro)","1998M09","Bullocks 450-499kg",124.23
"5147","Cattle Price per Head (Euro)","1998M10","Bullocks 450-499kg",575.91
"5148","Cattle Price per 100 Kg (Euro)","1998M10","Bullocks 450-499kg",122.35
"5149","Cattle Price per Head (Euro)","1998M11","Bullocks 450-499kg",541.92
"5150","Cattle Price per 100 Kg (Euro)","1998M11","Bullocks 450-499kg",116.35
"5151","Cattle Price per Head (Euro)","1998M12","Bullocks 450-499kg",543.3
"5152","Cattle Price per 100 Kg (Euro)","1998M12","Bullocks 450-499kg",116.56
"5153","Cattle Price per Head (Euro)","1999M01","Bullocks 450-499kg",537.24
"5154","Cattle Price per 100 Kg (Euro)","1999M01","Bullocks 450-499kg",113.66
"5155","Cattle Price per Head (Euro)","1999M02","Bullocks 450-499kg",565.66
"5156","Cattle Price per 100 Kg (Euro)","1999M02","Bullocks 450-499kg",119.47
"5157","Cattle Price per Head (Euro)","1999M03","Bullocks 450-499kg",608.52
"5158","Cattle Price per 100 Kg (Euro)","1999M03","Bullocks 450-499kg",128.09
"5159","Cattle Price per Head (Euro)","1999M04","Bullocks 450-499kg",607.57
"5160","Cattle Price per 100 Kg (Euro)","1999M04","Bullocks 450-499kg",128.37
"5161","Cattle Price per Head (Euro)","1999M05","Bullocks 450-499kg",611.32
"5162","Cattle Price per 100 Kg (Euro)","1999M05","Bullocks 450-499kg",129.03
"5163","Cattle Price per Head (Euro)","1999M06","Bullocks 450-499kg",571.9
"5164","Cattle Price per 100 Kg (Euro)","1999M06","Bullocks 450-499kg",120.83
"5165","Cattle Price per Head (Euro)","1999M07","Bullocks 450-499kg",576.2
"5166","Cattle Price per 100 Kg (Euro)","1999M07","Bullocks 450-499kg",121.99
"5167","Cattle Price per Head (Euro)","1999M08","Bullocks 450-499kg",568.58
"5168","Cattle Price per 100 Kg (Euro)","1999M08","Bullocks 450-499kg",120.37
"5169","Cattle Price per Head (Euro)","1999M09","Bullocks 450-499kg",589.91
"5170","Cattle Price per 100 Kg (Euro)","1999M09","Bullocks 450-499kg",124.75
"5171","Cattle Price per Head (Euro)","1999M10","Bullocks 450-499kg",581.31
"5172","Cattle Price per 100 Kg (Euro)","1999M10","Bullocks 450-499kg",122.61
"5173","Cattle Price per Head (Euro)","1999M11","Bullocks 450-499kg",596.8
"5174","Cattle Price per 100 Kg (Euro)","1999M11","Bullocks 450-499kg",125.64
"5175","Cattle Price per Head (Euro)","1999M12","Bullocks 450-499kg",598.29
"5176","Cattle Price per 100 Kg (Euro)","1999M12","Bullocks 450-499kg",126
"5177","Cattle Price per Head (Euro)","2000M01","Bullocks 450-499kg",609.13
"5178","Cattle Price per 100 Kg (Euro)","2000M01","Bullocks 450-499kg",128.36
"5179","Cattle Price per Head (Euro)","2000M02","Bullocks 450-499kg",632.43
"5180","Cattle Price per 100 Kg (Euro)","2000M02","Bullocks 450-499kg",133.28
"5181","Cattle Price per Head (Euro)","2000M03","Bullocks 450-499kg",655.73
"5182","Cattle Price per 100 Kg (Euro)","2000M03","Bullocks 450-499kg",138.43
"5183","Cattle Price per Head (Euro)","2000M04","Bullocks 450-499kg",666.49
"5184","Cattle Price per 100 Kg (Euro)","2000M04","Bullocks 450-499kg",140.67
"5185","Cattle Price per Head (Euro)","2000M05","Bullocks 450-499kg",701.26
"5186","Cattle Price per 100 Kg (Euro)","2000M05","Bullocks 450-499kg",148.28
"5187","Cattle Price per Head (Euro)","2000M06","Bullocks 450-499kg",720.47
"5188","Cattle Price per 100 Kg (Euro)","2000M06","Bullocks 450-499kg",152.53
"5189","Cattle Price per Head (Euro)","2000M07","Bullocks 450-499kg",715.11
"5190","Cattle Price per 100 Kg (Euro)","2000M07","Bullocks 450-499kg",151.46
"5191","Cattle Price per Head (Euro)","2000M08","Bullocks 450-499kg",720.4
"5192","Cattle Price per 100 Kg (Euro)","2000M08","Bullocks 450-499kg",152.37
"5193","Cattle Price per Head (Euro)","2000M09","Bullocks 450-499kg",715.81
"5194","Cattle Price per 100 Kg (Euro)","2000M09","Bullocks 450-499kg",151.16
"5195","Cattle Price per Head (Euro)","2000M10","Bullocks 450-499kg",721.33
"5196","Cattle Price per 100 Kg (Euro)","2000M10","Bullocks 450-499kg",152.29
"5197","Cattle Price per Head (Euro)","2000M11","Bullocks 450-499kg",693.53
"5198","Cattle Price per 100 Kg (Euro)","2000M11","Bullocks 450-499kg",146.42
"5199","Cattle Price per Head (Euro)","2000M12","Bullocks 450-499kg",674.56
"5200","Cattle Price per 100 Kg (Euro)","2000M12","Bullocks 450-499kg",142.44
"5201","Cattle Price per Head (Euro)","2001M01","Bullocks 450-499kg",698.53
"5202","Cattle Price per 100 Kg (Euro)","2001M01","Bullocks 450-499kg",147.76
"5203","Cattle Price per Head (Euro)","2001M02","Bullocks 450-499kg",648.19
"5204","Cattle Price per 100 Kg (Euro)","2001M02","Bullocks 450-499kg",136.79
"5205","Cattle Price per Head (Euro)","2001M03","Bullocks 450-499kg",NA
"5206","Cattle Price per 100 Kg (Euro)","2001M03","Bullocks 450-499kg",NA
"5207","Cattle Price per Head (Euro)","2001M04","Bullocks 450-499kg",NA
"5208","Cattle Price per 100 Kg (Euro)","2001M04","Bullocks 450-499kg",NA
"5209","Cattle Price per Head (Euro)","2001M05","Bullocks 450-499kg",NA
"5210","Cattle Price per 100 Kg (Euro)","2001M05","Bullocks 450-499kg",NA
"5211","Cattle Price per Head (Euro)","2001M06","Bullocks 450-499kg",NA
"5212","Cattle Price per 100 Kg (Euro)","2001M06","Bullocks 450-499kg",NA
"5213","Cattle Price per Head (Euro)","2001M07","Bullocks 450-499kg",675.93
"5214","Cattle Price per 100 Kg (Euro)","2001M07","Bullocks 450-499kg",143.15
"5215","Cattle Price per Head (Euro)","2001M08","Bullocks 450-499kg",664.98
"5216","Cattle Price per 100 Kg (Euro)","2001M08","Bullocks 450-499kg",141.01
"5217","Cattle Price per Head (Euro)","2001M09","Bullocks 450-499kg",669.44
"5218","Cattle Price per 100 Kg (Euro)","2001M09","Bullocks 450-499kg",142.06
"5219","Cattle Price per Head (Euro)","2001M10","Bullocks 450-499kg",674.83
"5220","Cattle Price per 100 Kg (Euro)","2001M10","Bullocks 450-499kg",142.68
"5221","Cattle Price per Head (Euro)","2001M11","Bullocks 450-499kg",698.47
"5222","Cattle Price per 100 Kg (Euro)","2001M11","Bullocks 450-499kg",147.84
"5223","Cattle Price per Head (Euro)","2001M12","Bullocks 450-499kg",707.12
"5224","Cattle Price per 100 Kg (Euro)","2001M12","Bullocks 450-499kg",149.66
"5225","Cattle Price per Head (Euro)","2002M01","Bullocks 450-499kg",735.44
"5226","Cattle Price per 100 Kg (Euro)","2002M01","Bullocks 450-499kg",155.4
"5227","Cattle Price per Head (Euro)","2002M02","Bullocks 450-499kg",752.96
"5228","Cattle Price per 100 Kg (Euro)","2002M02","Bullocks 450-499kg",159.35
"5229","Cattle Price per Head (Euro)","2002M03","Bullocks 450-499kg",755.69
"5230","Cattle Price per 100 Kg (Euro)","2002M03","Bullocks 450-499kg",159.53
"5231","Cattle Price per Head (Euro)","2002M04","Bullocks 450-499kg",749
"5232","Cattle Price per 100 Kg (Euro)","2002M04","Bullocks 450-499kg",158.42
"5233","Cattle Price per Head (Euro)","2002M05","Bullocks 450-499kg",731.82
"5234","Cattle Price per 100 Kg (Euro)","2002M05","Bullocks 450-499kg",155.18
"5235","Cattle Price per Head (Euro)","2002M06","Bullocks 450-499kg",692.08
"5236","Cattle Price per 100 Kg (Euro)","2002M06","Bullocks 450-499kg",146.44
"5237","Cattle Price per Head (Euro)","2002M07","Bullocks 450-499kg",666.18
"5238","Cattle Price per 100 Kg (Euro)","2002M07","Bullocks 450-499kg",141.32
"5239","Cattle Price per Head (Euro)","2002M08","Bullocks 450-499kg",685.4
"5240","Cattle Price per 100 Kg (Euro)","2002M08","Bullocks 450-499kg",145.33
"5241","Cattle Price per Head (Euro)","2002M09","Bullocks 450-499kg",660.47
"5242","Cattle Price per 100 Kg (Euro)","2002M09","Bullocks 450-499kg",140.05
"5243","Cattle Price per Head (Euro)","2002M10","Bullocks 450-499kg",673.28
"5244","Cattle Price per 100 Kg (Euro)","2002M10","Bullocks 450-499kg",142.35
"5245","Cattle Price per Head (Euro)","2002M11","Bullocks 450-499kg",677.58
"5246","Cattle Price per 100 Kg (Euro)","2002M11","Bullocks 450-499kg",143.25
"5247","Cattle Price per Head (Euro)","2002M12","Bullocks 450-499kg",704.59
"5248","Cattle Price per 100 Kg (Euro)","2002M12","Bullocks 450-499kg",149.46
"5249","Cattle Price per Head (Euro)","2003M01","Bullocks 450-499kg",705.08
"5250","Cattle Price per 100 Kg (Euro)","2003M01","Bullocks 450-499kg",149.21
"5251","Cattle Price per Head (Euro)","2003M02","Bullocks 450-499kg",717.39
"5252","Cattle Price per 100 Kg (Euro)","2003M02","Bullocks 450-499kg",152.2
"5253","Cattle Price per Head (Euro)","2003M03","Bullocks 450-499kg",704.87
"5254","Cattle Price per 100 Kg (Euro)","2003M03","Bullocks 450-499kg",149.11
"5255","Cattle Price per Head (Euro)","2003M04","Bullocks 450-499kg",717.74
"5256","Cattle Price per 100 Kg (Euro)","2003M04","Bullocks 450-499kg",151.72
"5257","Cattle Price per Head (Euro)","2003M05","Bullocks 450-499kg",711.85
"5258","Cattle Price per 100 Kg (Euro)","2003M05","Bullocks 450-499kg",150.5
"5259","Cattle Price per Head (Euro)","2003M06","Bullocks 450-499kg",699.53
"5260","Cattle Price per 100 Kg (Euro)","2003M06","Bullocks 450-499kg",148.23
"5261","Cattle Price per Head (Euro)","2003M07","Bullocks 450-499kg",717.82
"5262","Cattle Price per 100 Kg (Euro)","2003M07","Bullocks 450-499kg",152.35
"5263","Cattle Price per Head (Euro)","2003M08","Bullocks 450-499kg",717.66
"5264","Cattle Price per 100 Kg (Euro)","2003M08","Bullocks 450-499kg",152.25
"5265","Cattle Price per Head (Euro)","2003M09","Bullocks 450-499kg",696.17
"5266","Cattle Price per 100 Kg (Euro)","2003M09","Bullocks 450-499kg",147.56
"5267","Cattle Price per Head (Euro)","2003M10","Bullocks 450-499kg",712.4
"5268","Cattle Price per 100 Kg (Euro)","2003M10","Bullocks 450-499kg",150.72
"5269","Cattle Price per Head (Euro)","2003M11","Bullocks 450-499kg",721.02
"5270","Cattle Price per 100 Kg (Euro)","2003M11","Bullocks 450-499kg",152.3
"5271","Cattle Price per Head (Euro)","2003M12","Bullocks 450-499kg",741.43
"5272","Cattle Price per 100 Kg (Euro)","2003M12","Bullocks 450-499kg",157.34
"5273","Cattle Price per Head (Euro)","2004M01","Bullocks 450-499kg",732.06
"5274","Cattle Price per 100 Kg (Euro)","2004M01","Bullocks 450-499kg",155.32
"5275","Cattle Price per Head (Euro)","2004M02","Bullocks 450-499kg",784.29
"5276","Cattle Price per 100 Kg (Euro)","2004M02","Bullocks 450-499kg",165.84
"5277","Cattle Price per Head (Euro)","2004M03","Bullocks 450-499kg",783.62
"5278","Cattle Price per 100 Kg (Euro)","2004M03","Bullocks 450-499kg",165.66
"5279","Cattle Price per Head (Euro)","2004M04","Bullocks 450-499kg",806.64
"5280","Cattle Price per 100 Kg (Euro)","2004M04","Bullocks 450-499kg",170.56
"5281","Cattle Price per Head (Euro)","2004M05","Bullocks 450-499kg",816.79
"5282","Cattle Price per 100 Kg (Euro)","2004M05","Bullocks 450-499kg",172.76
"5283","Cattle Price per Head (Euro)","2004M06","Bullocks 450-499kg",812.57
"5284","Cattle Price per 100 Kg (Euro)","2004M06","Bullocks 450-499kg",171.53
"5285","Cattle Price per Head (Euro)","2004M07","Bullocks 450-499kg",773.96
"5286","Cattle Price per 100 Kg (Euro)","2004M07","Bullocks 450-499kg",164.08
"5287","Cattle Price per Head (Euro)","2004M08","Bullocks 450-499kg",759.64
"5288","Cattle Price per 100 Kg (Euro)","2004M08","Bullocks 450-499kg",160.86
"5289","Cattle Price per Head (Euro)","2004M09","Bullocks 450-499kg",745.04
"5290","Cattle Price per 100 Kg (Euro)","2004M09","Bullocks 450-499kg",157.6
"5291","Cattle Price per Head (Euro)","2004M10","Bullocks 450-499kg",722.93
"5292","Cattle Price per 100 Kg (Euro)","2004M10","Bullocks 450-499kg",152.81
"5293","Cattle Price per Head (Euro)","2004M11","Bullocks 450-499kg",740.92
"5294","Cattle Price per 100 Kg (Euro)","2004M11","Bullocks 450-499kg",156.54
"5295","Cattle Price per Head (Euro)","2004M12","Bullocks 450-499kg",733.33
"5296","Cattle Price per 100 Kg (Euro)","2004M12","Bullocks 450-499kg",154.94
"5297","Cattle Price per Head (Euro)","2005M01","Bullocks 450-499kg",719.45
"5298","Cattle Price per 100 Kg (Euro)","2005M01","Bullocks 450-499kg",151.74
"5299","Cattle Price per Head (Euro)","2005M02","Bullocks 450-499kg",746.22
"5300","Cattle Price per 100 Kg (Euro)","2005M02","Bullocks 450-499kg",157.63
"5301","Cattle Price per Head (Euro)","2005M03","Bullocks 450-499kg",762.53
"5302","Cattle Price per 100 Kg (Euro)","2005M03","Bullocks 450-499kg",160.45
"5303","Cattle Price per Head (Euro)","2005M04","Bullocks 450-499kg",754.85
"5304","Cattle Price per 100 Kg (Euro)","2005M04","Bullocks 450-499kg",159.16
"5305","Cattle Price per Head (Euro)","2005M05","Bullocks 450-499kg",735.72
"5306","Cattle Price per 100 Kg (Euro)","2005M05","Bullocks 450-499kg",155.41
"5307","Cattle Price per Head (Euro)","2005M06","Bullocks 450-499kg",730.24
"5308","Cattle Price per 100 Kg (Euro)","2005M06","Bullocks 450-499kg",154.86
"5309","Cattle Price per Head (Euro)","2005M07","Bullocks 450-499kg",683.32
"5310","Cattle Price per 100 Kg (Euro)","2005M07","Bullocks 450-499kg",144.94
"5311","Cattle Price per Head (Euro)","2005M08","Bullocks 450-499kg",643.82
"5312","Cattle Price per 100 Kg (Euro)","2005M08","Bullocks 450-499kg",136.52
"5313","Cattle Price per Head (Euro)","2005M09","Bullocks 450-499kg",638.12
"5314","Cattle Price per 100 Kg (Euro)","2005M09","Bullocks 450-499kg",134.66
"5315","Cattle Price per Head (Euro)","2005M10","Bullocks 450-499kg",647.95
"5316","Cattle Price per 100 Kg (Euro)","2005M10","Bullocks 450-499kg",136.68
"5317","Cattle Price per Head (Euro)","2005M11","Bullocks 450-499kg",645.61
"5318","Cattle Price per 100 Kg (Euro)","2005M11","Bullocks 450-499kg",136.2
"5319","Cattle Price per Head (Euro)","2005M12","Bullocks 450-499kg",653.27
"5320","Cattle Price per 100 Kg (Euro)","2005M12","Bullocks 450-499kg",137.74
"5321","Cattle Price per Head (Euro)","2006M01","Bullocks 450-499kg",676.64
"5322","Cattle Price per 100 Kg (Euro)","2006M01","Bullocks 450-499kg",142.86
"5323","Cattle Price per Head (Euro)","2006M02","Bullocks 450-499kg",709.11
"5324","Cattle Price per 100 Kg (Euro)","2006M02","Bullocks 450-499kg",149.7
"5325","Cattle Price per Head (Euro)","2006M03","Bullocks 450-499kg",731.37
"5326","Cattle Price per 100 Kg (Euro)","2006M03","Bullocks 450-499kg",153.94
"5327","Cattle Price per Head (Euro)","2006M04","Bullocks 450-499kg",741.6
"5328","Cattle Price per 100 Kg (Euro)","2006M04","Bullocks 450-499kg",156.59
