"","Year","Type.of.Livestock","Rural.District","value"
"17596","1960","Cows : shorthorn","Navan",5298
"17597","1965","Cows : shorthorn","Navan",4446
"17598","1970","Cows : shorthorn","Navan",2418
"17599","1975","Cows : shorthorn","Navan",667
"17600","1980","Cows : shorthorn","Navan",442
"17601","1926","Cows : other breeds","Navan",NA
"17602","1933","Cows : other breeds","Navan",NA
"17603","1955","Cows : other breeds","Navan",NA
"17604","1960","Cows : other breeds","Navan",1142
"17605","1965","Cows : other breeds","Navan",1255
"17606","1970","Cows : other breeds","Navan",984
"17607","1975","Cows : other breeds","Navan",1286
"17608","1980","Cows : other breeds","Navan",598
"17609","1926","Heifers in calf","Navan",740
"17610","1933","Heifers in calf","Navan",912
"17611","1955","Heifers in calf","Navan",780
"17612","1960","Heifers in calf","Navan",1290
"17613","1965","Heifers in calf","Navan",2568
"17614","1970","Heifers in calf","Navan",2188
"17615","1975","Heifers in calf","Navan",2027
"17616","1980","Heifers in calf","Navan",2159
"17617","1926","Dairy heifers","Navan",NA
"17618","1933","Dairy heifers","Navan",NA
"17619","1955","Dairy heifers","Navan",NA
"17620","1960","Dairy heifers","Navan",NA
"17621","1965","Dairy heifers","Navan",NA
"17622","1970","Dairy heifers","Navan",NA
"17623","1975","Dairy heifers","Navan",NA
"17624","1980","Dairy heifers","Navan",1897
"17625","1926","Other heifers","Navan",NA
"17626","1933","Other heifers","Navan",NA
"17627","1955","Other heifers","Navan",NA
"17628","1960","Other heifers","Navan",NA
"17629","1965","Other heifers","Navan",NA
"17630","1970","Other heifers","Navan",NA
"17631","1975","Other heifers","Navan",NA
"17632","1980","Other heifers","Navan",262
"17633","1926","Other cattle","Navan",34544
"17634","1933","Other cattle","Navan",32325
"17635","1955","Other cattle","Navan",32506
"17636","1960","Other cattle","Navan",33431
"17637","1965","Other cattle","Navan",35166
"17638","1970","Other cattle","Navan",38860
"17639","1975","Other cattle","Navan",41831
"17640","1980","Other cattle","Navan",38199
"17641","1926","Other cattle : 3 years and over","Navan",10559
"17642","1933","Other cattle : 3 years and over","Navan",7888
"17643","1955","Other cattle : 3 years and over","Navan",10698
"17644","1960","Other cattle : 3 years and over","Navan",7951
"17645","1965","Other cattle : 3 years and over","Navan",5051
"17646","1970","Other cattle : 3 years and over","Navan",4085
"17647","1975","Other cattle : 3 years and over","Navan",4300
"17648","1980","Other cattle : 3 years and over","Navan",5678
"17649","1926","Other cattle : 3 years and over male","Navan",NA
"17650","1933","Other cattle : 3 years and over male","Navan",NA
"17651","1955","Other cattle : 3 years and over male","Navan",NA
"17652","1960","Other cattle : 3 years and over male","Navan",NA
"17653","1965","Other cattle : 3 years and over male","Navan",NA
"17654","1970","Other cattle : 3 years and over male","Navan",3260
"17655","1975","Other cattle : 3 years and over male","Navan",4000
"17656","1980","Other cattle : 3 years and over male","Navan",4960
"17657","1926","Other cattle : 3 years and over female","Navan",NA
"17658","1933","Other cattle : 3 years and over female","Navan",NA
"17659","1955","Other cattle : 3 years and over female","Navan",NA
"17660","1960","Other cattle : 3 years and over female","Navan",NA
"17661","1965","Other cattle : 3 years and over female","Navan",NA
"17662","1970","Other cattle : 3 years and over female","Navan",825
"17663","1975","Other cattle : 3 years and over female","Navan",300
"17664","1980","Other cattle : 3 years and over female","Navan",718
"17665","1926","Other cattle : 2 - 3 years","Navan",13131
"17666","1933","Other cattle : 2 - 3 years","Navan",13102
"17667","1955","Other cattle : 2 - 3 years","Navan",9863
"17668","1960","Other cattle : 2 - 3 years","Navan",10973
"17669","1965","Other cattle : 2 - 3 years","Navan",12006
"17670","1970","Other cattle : 2 - 3 years","Navan",13706
"17671","1975","Other cattle : 2 - 3 years","Navan",16192
"17672","1980","Other cattle : 2 - 3 years","Navan",12116
"17673","1926","Other cattle : 2 - 3 years male","Navan",NA
"17674","1933","Other cattle : 2 - 3 years male","Navan",NA
"17675","1955","Other cattle : 2 - 3 years male","Navan",NA
"17676","1960","Other cattle : 2 - 3 years male","Navan",NA
"17677","1965","Other cattle : 2 - 3 years male","Navan",NA
"17678","1970","Other cattle : 2 - 3 years male","Navan",10484
"17679","1975","Other cattle : 2 - 3 years male","Navan",12662
"17680","1980","Other cattle : 2 - 3 years male","Navan",8621
"17681","1926","Other cattle : 2 - 3 years female","Navan",NA
"17682","1933","Other cattle : 2 - 3 years female","Navan",NA
"17683","1955","Other cattle : 2 - 3 years female","Navan",NA
"17684","1960","Other cattle : 2 - 3 years female","Navan",NA
"17685","1965","Other cattle : 2 - 3 years female","Navan",NA
"17686","1970","Other cattle : 2 - 3 years female","Navan",3222
"17687","1975","Other cattle : 2 - 3 years female","Navan",3530
"17688","1980","Other cattle : 2 - 3 years female","Navan",3495
"17689","1926","Other cattle : 1 - 2 years","Navan",7163
"17690","1933","Other cattle : 1 - 2 years","Navan",6571
"17691","1955","Other cattle : 1 - 2 years","Navan",6652
"17692","1960","Other cattle : 1 - 2 years","Navan",7933
"17693","1965","Other cattle : 1 - 2 years","Navan",9947
"17694","1970","Other cattle : 1 - 2 years","Navan",11464
"17695","1975","Other cattle : 1 - 2 years","Navan",11803
"17696","1980","Other cattle : 1 - 2 years","Navan",11648
"17697","1926","Other cattle : 1 - 2 years male","Navan",NA
"17698","1933","Other cattle : 1 - 2 years male","Navan",NA
"17699","1955","Other cattle : 1 - 2 years male","Navan",NA
"17700","1960","Other cattle : 1 - 2 years male","Navan",NA
"17701","1965","Other cattle : 1 - 2 years male","Navan",NA
"17702","1970","Other cattle : 1 - 2 years male","Navan",7498
"17703","1975","Other cattle : 1 - 2 years male","Navan",7801
"17704","1980","Other cattle : 1 - 2 years male","Navan",7276
"17705","1926","Other cattle : 1 - 2 years female","Navan",NA
"17706","1933","Other cattle : 1 - 2 years female","Navan",NA
"17707","1955","Other cattle : 1 - 2 years female","Navan",NA
"17708","1960","Other cattle : 1 - 2 years female","Navan",NA
"17709","1965","Other cattle : 1 - 2 years female","Navan",NA
"17710","1970","Other cattle : 1 - 2 years female","Navan",3966
"17711","1975","Other cattle : 1 - 2 years female","Navan",4002
"17712","1980","Other cattle : 1 - 2 years female","Navan",4372
"17713","1926","Other cattle : less than 1","Navan",3691
"17714","1933","Other cattle : less than 1","Navan",4764
"17715","1955","Other cattle : less than 1","Navan",5293
"17716","1960","Other cattle : less than 1","Navan",6574
"17717","1965","Other cattle : less than 1","Navan",8162
"17718","1970","Other cattle : less than 1","Navan",9605
"17719","1975","Other cattle : less than 1","Navan",9536
"17720","1980","Other cattle : less than 1","Navan",8757
"17721","1926","Other cattle : less than 1 male","Navan",NA
"17722","1933","Other cattle : less than 1 male","Navan",NA
"17723","1955","Other cattle : less than 1 male","Navan",NA
"17724","1960","Other cattle : less than 1 male","Navan",NA
"17725","1965","Other cattle : less than 1 male","Navan",NA
"17726","1970","Other cattle : less than 1 male","Navan",5562
"17727","1975","Other cattle : less than 1 male","Navan",5506
"17728","1980","Other cattle : less than 1 male","Navan",4551
"17729","1926","Other cattle : less than 1 female","Navan",NA
"17730","1933","Other cattle : less than 1 female","Navan",NA
"17731","1955","Other cattle : less than 1 female","Navan",NA
"17732","1960","Other cattle : less than 1 female","Navan",NA
"17733","1965","Other cattle : less than 1 female","Navan",NA
"17734","1970","Other cattle : less than 1 female","Navan",4043
"17735","1975","Other cattle : less than 1 female","Navan",4030
"17736","1980","Other cattle : less than 1 female","Navan",4206
"17737","1926","Sheep","Navan",32830
"17738","1933","Sheep","Navan",36033
"17739","1955","Sheep","Navan",32911
"17740","1960","Sheep","Navan",45624
"17741","1965","Sheep","Navan",62600
"17742","1970","Sheep","Navan",44743
"17743","1975","Sheep","Navan",27912
"17744","1980","Sheep","Navan",20382
"17745","1926","Sheep for breeding","Navan",13850
"17746","1933","Sheep for breeding","Navan",18455
"17747","1955","Sheep for breeding","Navan",14780
"17748","1960","Sheep for breeding","Navan",22122
"17749","1965","Sheep for breeding","Navan",31348
"17750","1970","Sheep for breeding","Navan",22934
"17751","1975","Sheep for breeding","Navan",14400
"17752","1980","Sheep for breeding","Navan",9660
"17753","1926","Rams for breeding","Navan",503
"17754","1933","Rams for breeding","Navan",577
"17755","1955","Rams for breeding","Navan",463
"17756","1960","Rams for breeding","Navan",691
"17757","1965","Rams for breeding","Navan",827
"17758","1970","Rams for breeding","Navan",676
"17759","1975","Rams for breeding","Navan",398
"17760","1980","Rams for breeding","Navan",206
"17761","1926","Ewes for breeding","Navan",13347
"17762","1933","Ewes for breeding","Navan",17878
"17763","1955","Ewes for breeding","Navan",14317
"17764","1960","Ewes for breeding","Navan",21431
"17765","1965","Ewes for breeding","Navan",30521
"17766","1970","Ewes for breeding","Navan",22258
"17767","1975","Ewes for breeding","Navan",14002
"17768","1980","Ewes for breeding","Navan",9454
"17769","1926","Ewes : cheviot type","Navan",NA
"17770","1933","Ewes : cheviot type","Navan",NA
"17771","1955","Ewes : cheviot type","Navan",NA
"17772","1960","Ewes : cheviot type","Navan",NA
"17773","1965","Ewes : cheviot type","Navan",6089
"17774","1970","Ewes : cheviot type","Navan",8438
"17775","1975","Ewes : cheviot type","Navan",5093
"17776","1980","Ewes : cheviot type","Navan",3955
"17777","1926","Ewes : blackface moutain type","Navan",NA
"17778","1933","Ewes : blackface moutain type","Navan",NA
"17779","1955","Ewes : blackface moutain type","Navan",NA
"17780","1960","Ewes : blackface moutain type","Navan",NA
"17781","1965","Ewes : blackface moutain type","Navan",3924
"17782","1970","Ewes : blackface moutain type","Navan",1718
"17783","1975","Ewes : blackface moutain type","Navan",1612
"17784","1980","Ewes : blackface moutain type","Navan",932
"17785","1926","Ewes : long woolled galway type","Navan",NA
"17786","1933","Ewes : long woolled galway type","Navan",NA
"17787","1955","Ewes : long woolled galway type","Navan",NA
"17788","1960","Ewes : long woolled galway type","Navan",NA
"17789","1965","Ewes : long woolled galway type","Navan",10874
"17790","1970","Ewes : long woolled galway type","Navan",5233
"17791","1975","Ewes : long woolled galway type","Navan",4484
"17792","1980","Ewes : long woolled galway type","Navan",1920
"17793","1926","Ewes : other breeds","Navan",NA
"17794","1933","Ewes : other breeds","Navan",NA
"17795","1955","Ewes : other breeds","Navan",NA
"17796","1960","Ewes : other breeds","Navan",NA
"17797","1965","Ewes : other breeds","Navan",9634
"17798","1970","Ewes : other breeds","Navan",6869
"17799","1975","Ewes : other breeds","Navan",2813
"17800","1980","Ewes : other breeds","Navan",2647
"17801","1926","Other sheep","Navan",18980
"17802","1933","Other sheep","Navan",17578
"17803","1955","Other sheep","Navan",18131
"17804","1960","Other sheep","Navan",23502
"17805","1965","Other sheep","Navan",31252
"17806","1970","Other sheep","Navan",21809
"17807","1975","Other sheep","Navan",13512
"17808","1980","Other sheep","Navan",10722
"17809","1926","Other sheep : one year and over","Navan",5243
"17810","1933","Other sheep : one year and over","Navan",2777
"17811","1955","Other sheep : one year and over","Navan",3095
"17812","1960","Other sheep : one year and over","Navan",1722
"17813","1965","Other sheep : one year and over","Navan",1522
"17814","1970","Other sheep : one year and over","Navan",956
"17815","1975","Other sheep : one year and over","Navan",699
"17816","1980","Other sheep : one year and over","Navan",597
"17817","1926","Other sheep : less than one year","Navan",13737
"17818","1933","Other sheep : less than one year","Navan",14801
"17819","1955","Other sheep : less than one year","Navan",15036
"17820","1960","Other sheep : less than one year","Navan",21780
"17821","1965","Other sheep : less than one year","Navan",29730
"17822","1970","Other sheep : less than one year","Navan",20853
"17823","1975","Other sheep : less than one year","Navan",12813
"17824","1980","Other sheep : less than one year","Navan",10125
"17825","1926","Pigs","Navan",1665
"17826","1933","Pigs","Navan",1171
"17827","1955","Pigs","Navan",1152
"17828","1960","Pigs","Navan",2615
"17829","1965","Pigs","Navan",3638
"17830","1970","Pigs","Navan",2714
"17831","1975","Pigs","Navan",2479
"17832","1980","Pigs","Navan",6051
"17833","1926","Pigs for breeding","Navan",83
"17834","1933","Pigs for breeding","Navan",162
"17835","1955","Pigs for breeding","Navan",146
"17836","1960","Pigs for breeding","Navan",279
"17837","1965","Pigs for breeding","Navan",475
"17838","1970","Pigs for breeding","Navan",304
"17839","1975","Pigs for breeding","Navan",480
"17840","1980","Pigs for breeding","Navan",1146
"17841","1926","Boars for breeding","Navan",6
"17842","1933","Boars for breeding","Navan",8
"17843","1955","Boars for breeding","Navan",8
"17844","1960","Boars for breeding","Navan",5
"17845","1965","Boars for breeding","Navan",17
"17846","1970","Boars for breeding","Navan",5
"17847","1975","Boars for breeding","Navan",15
"17848","1980","Boars for breeding","Navan",44
"17849","1926","Sows for breeding","Navan",77
"17850","1933","Sows for breeding","Navan",154
"17851","1955","Sows for breeding","Navan",138
"17852","1960","Sows for breeding","Navan",274
"17853","1965","Sows for breeding","Navan",458
"17854","1970","Sows for breeding","Navan",299
"17855","1975","Sows for breeding","Navan",465
"17856","1980","Sows for breeding","Navan",1102
"17857","1926","Other pigs","Navan",1582
"17858","1933","Other pigs","Navan",1009
"17859","1955","Other pigs","Navan",1006
"17860","1960","Other pigs","Navan",2336
"17861","1965","Other pigs","Navan",3163
"17862","1970","Other pigs","Navan",2410
"17863","1975","Other pigs","Navan",1999
"17864","1980","Other pigs","Navan",4905
"17865","1926","Horses and ponies","Navan",2168
"17866","1933","Horses and ponies","Navan",1943
"17867","1955","Horses and ponies","Navan",1192
"17868","1960","Horses and ponies","Navan",822
"17869","1965","Horses and ponies","Navan",603
"17870","1970","Horses and ponies","Navan",715
"17871","1975","Horses and ponies","Navan",860
"17872","1980","Horses and ponies","Navan",795
"17873","1926","Working horses and ponies","Navan",NA
"17874","1933","Working horses and ponies","Navan",NA
"17875","1955","Working horses and ponies","Navan",NA
"17876","1960","Working horses and ponies","Navan",435
"17877","1965","Working horses and ponies","Navan",170
"17878","1970","Working horses and ponies","Navan",126
"17879","1975","Working horses and ponies","Navan",68
"17880","1980","Working horses and ponies","Navan",16
"17881","1926","Thoroughbreds","Navan",NA
"17882","1933","Thoroughbreds","Navan",NA
"17883","1955","Thoroughbreds","Navan",NA
"17884","1960","Thoroughbreds","Navan",279
"17885","1965","Thoroughbreds","Navan",308
"17886","1970","Thoroughbreds","Navan",375
"17887","1975","Thoroughbreds","Navan",519
"17888","1980","Thoroughbreds","Navan",419
